request_id,company_id,company_as_written,target_title,requested_by,request_date,raw_ask,value_usd,urgency_declared,status_as_filed,routed_to,routed_on,route_score,route_reason,asked_date,responded,intro_sent,meeting_booked,opportunity_usd,offer_in_thread,thread_replies,thread_all_noise,resolved_by,needs_review,contradicts_log,blocked_reason,nudged_on
R1014,C026,Northwind Freight,Chief Operating Officer,Yusuf Petrossian,2026-02-18,"does anyone know anyone at Northwind Freight? looking for Chief Operating Officer, ideally warm",150000,High,Closed - no path,,,,not asked; no path to this company in the network,,,,,,N,1,yes,crm-name,no,,no path on the roster,
R1015,C008,Cindermill Mining,Chief Information Officer,Yusuf Petrossian,2026-06-23,long shot — Cindermill Mining. Niall Zettergren-Isenberg (Chief Information Officer). Anyone?,80000,High,Stalled,Owen Trask,2026-06-26,0.049,"asked; direct path via Leandro Brenneman (Director of Software Engineering); stronger path existed via Elena Duvall (direct, 0.12)",2026-06-26,N,N,N,,N,3,yes,name-prefix,no,,,
R1016,C027,Nortonbury Logistics,Chief Operating Officer,Curtis Hartigan,2026-03-30,"does anyone know anyone at Nortonbury Logistics? looking for Chief Operating Officer, ideally warm",1200000,High,Intro sent,Marcus Aldridge,,0.180,"recommended, not yet asked; direct path via Anouk Kirkbride (Head of Developer Productivity)",,,,,,N,2,yes,crm-name,no,"intro claimed, none logged",,
R1017,C046,Vireo Systems,Head of Developer Productivity,Nadia Okonkwo,2025-11-06,any connections into Vireo Systems? we're up against a renewal window and I need an intro to Head of Developer Productivity,250000,Medium,Closed - no path,Priya Raghunathan,,0.318,"recommended, not yet asked; board path via CEO / exec team",,,,,,N,3,yes,new-company,no CRM account,,,
R1018,C043,Wrenfield Robotics,Chief Technology Officer,Yusuf Petrossian,2026-05-31,who do we know at Wrenfield Robotics? Chief Technology Officer would be ideal but I'll take anyone senior,1200000,High,Open,Priya Raghunathan,,0.130,"recommended, not yet asked; direct path via Saoirse Prendergast (Head of Platform Engineering)",,,,,,N,1,yes,name-exact,no,,,
R1019,C026,Northwind Freight,Chief Data Officer,Nadia Okonkwo,2026-01-01,any connections into Northwind Freight? we're up against a renewal window and I need an intro to Chief Data Officer,400000,High,Open,,,,not asked; no path to this company in the network,,,,,,N,0,no replies,crm-name,no,,no path on the roster,
R1020,,,Chief Information Officer,Bertrand Vandermolen,2025-11-01,Rafael Kirkbride-Ibarra is the person I need. Pretty sure they're a Chief Information Officer somewhere in Semiconductors.,750000,Low,Intro sent,Tomás Beckett,2025-11-05,,asked; no known path from this connector to the company,2025-11-05,Y,Y,N,,N,0,no replies,unresolved,company not identifiable; asked with no known path,,,
R1021,C021,Larchmont Aerospace,VP Data & Analytics,Imani Mkhize,2025-10-29,"does anyone know anyone at Larchmont Aerospace? looking for VP Data & Analytics, ideally warm",1200000,Medium,Intro sent,,,,not asked; no path to this company in the network,,,,,,N,2,yes,crm-name,no,"intro claimed, none logged",account is Closed Lost,
R1022,C006,Blackwood Industrial,Director of Software Engineering,Nadia Okonkwo,2026-06-11,asking again: Blackwood Industrial. Director of Software Engineering. Happy to draft the forward myself if someone can vouch.,1200000,High,Open,Elena Duvall,2026-06-16,0.187,asked; direct path via Bram Quillane (Head of Developer Productivity),2026-06-16,Y,Y,N,,N,1,yes,domain-stem,no,,,
R1023,C039,Thistledown Energy,Chief Operating Officer,Bertrand Vandermolen,2025-10-21,asking again: Thistledown Energy. Chief Operating Officer. Happy to draft the forward myself if someone can vouch.,400000,Low,Routed,,,,not asked; no path to this company in the network,,,,,,N,0,no replies,crm-name,no,,no path on the roster,
R1024,C002,Apex Logistics,Director of Software Engineering,Curtis Hartigan,2026-07-04,who do we know at Apex Logistics? Director of Software Engineering would be ideal but I'll take anyone senior,2000000,High,Routed,Marcus Aldridge,,0.133,"recommended, not yet asked; direct path via Curtis Prendergast (SVP Digital)",,,,,,N,3,yes,crm-name,no,,,
R1025,C015,Glasspoint Health,Chief Information Officer,Sloane Fairweather,2026-02-25,"does anyone know anyone at Glasspoint Health? looking for Chief Information Officer, ideally warm",1200000,Medium,Open,Elena Duvall,2026-02-28,,"asked; no known path from this connector to the company; stronger path existed via Marcus Aldridge (direct, 0.09)",2026-02-28,Y,N,N,,N,3,yes,crm-name,asked with no known path,,,
R1026,C038,Tessellate Payments,Chief Data Officer,Imani Mkhize,2025-12-12,"need help getting to Tessellate Payments. Duarte Wolstenholme-Crowther is the Chief Data Officer there, cold outbound is going nowhere",1200000,Low,Routed,Owen Trask,2025-12-15,0.091,"asked; direct path via Mei Dobrescu (Engineering Manager); stronger path existed via Priya Raghunathan (direct, 0.15)",2025-12-15,Y,N,N,,N,2,yes,crm-name,no,,,
R1027,C036,Strathmore Rail,Chief Technology Officer,Hana Nakashima,2026-07-05,asking again: Strathmore Rail. Chief Technology Officer. Happy to draft the forward myself if someone can vouch.,400000,High,Routed,Tomás Beckett,,0.053,"recommended, not yet asked; direct path via Bertrand Lomsadze (Chief Digital Officer)",,,,,,N,3,yes,domain-stem,no,,,
R1028,C028,Osric Networks,Chief Digital Officer,Yusuf Petrossian,2026-07-18,"Duncastle Hotels introduced us to Calderon Aerospace, but the account I actually need is Osric Networks (Chief Digital Officer).",2000000,Critical,Open,,,,not asked; no path to this company in the network,,,,,,N,0,no replies,raw_ask:crm-name,no,,already introduced,
R1029,C007,Brightmoor Energy,VP Engineering,Rafael Salcedo,2026-07-13,"Brightmoor Energy is the target. Our champion at Yarrowdale Media used to work with their team, and I think Marlowe Freight Systems is a supplier of theirs. Any path?",150000,Medium,Stalled,Elena Duvall,2026-07-18,0.129,asked; direct path via Idris Drummond (Chief Digital Officer),2026-07-18,N,N,N,,N,0,no replies,raw_ask:crm-name,no,,,
R1030,C021,Larchmont Aerospace,Head of Platform Engineering,Curtis Hartigan,2026-07-01,long shot — Larchmont Aerospace. Kofi Højgaard-Zettergren (Head of Platform Engineering). Anyone?,80000,High,Open,,,,not asked; no path to this company in the network,,,,,,N,0,no replies,crm-name,no,,account is Closed Lost,
R1031,C020,Ironvale Steel,Chief Data Officer,Imani Mkhize,2025-11-26,"does anyone know anyone at Ironvale Steel? looking for Chief Data Officer, ideally warm",80000,High,Open,Priya Raghunathan,2025-11-30,0.123,"asked; direct path via Tanvi Eastcott (Chief Data Officer); stronger path existed via Marcus Aldridge (direct, 0.21)",2025-11-30,N,N,N,,N,3,yes,crm-name,no,,,
R1032,C010,Duncastle Hotels,VP Enterprise Architecture,Hana Nakashima,2025-09-11,who do we know at Duncastle Hotels? VP Enterprise Architecture would be ideal but I'll take anyone senior,80000,Critical,Closed - no path,Priya Raghunathan,2025-09-17,0.205,asked; board path via CEO / exec team,2025-09-17,Y,Y,N,,N,3,yes,name-prefix,no,"closed as no-path, path exists",,
R1033,C031,Priorwood Chemicals,Head of Developer Productivity,Curtis Hartigan,2026-06-02,long shot — Priorwood Chemicals. Astrid Thackeray-Grimsby (Head of Developer Productivity). Anyone?,750000,High,Closed - no path,Tomás Beckett,2026-06-07,0.048,"asked; direct path via Curtis Marchetti (VP Enterprise Architecture); stronger path existed via Elena Duvall (direct, 0.11)",2026-06-07,Y,N,N,,N,1,yes,crm-name,no,,,
R1034,C037,Sundermere Bank,Chief Data Officer,Sloane Fairweather,2025-10-13,long shot — Sundermere Bank. Margot Vasquez-Salcedo (Chief Data Officer). Anyone?,400000,High,Open,,,,not asked; no path to this company in the network,,,,,,Y,3,no,crm-name,no,,no path on the roster,
R1035,C059,Marrow Point Airways,VP Engineering,Rafael Salcedo,2025-12-23,"does anyone know anyone at Marrow Point Airways? looking for VP Engineering, ideally warm",400000,High,Closed - no path,,,,not asked; no path to this company in the network,,,,,,N,0,no replies,new-company,no CRM account,,company has no CRM record,
R1036,C034,Sablefield Motors,Chief Data Officer,Curtis Hartigan,2026-05-19,asking again: Sablefield Motors. Chief Data Officer. Happy to draft the forward myself if someone can vouch.,150000,Critical,Open,,,,not asked; no path to this company in the network,,,,,,N,1,yes,crm-name,no,,account is Closed Lost,
R1037,C039,Thistledown Energy,Head of Platform Engineering,Hana Nakashima,2025-11-26,trying to reach Head of Platform Engineering at Thistledown Energy — anyone have a path?,1200000,Low,Open,,,,not asked; no path to this company in the network,,,,,,N,0,no replies,crm-name,no,,no path on the roster,
R1038,C002,Apex Logistics,Chief Operating Officer,Nadia Okonkwo,2026-05-18,trying to reach Chief Operating Officer at Apex Logistics. I know we sell into Larkhall Software and Cindermill Mining — could either of those relationships get us there?,250000,High,Intro sent,Elena Duvall,2026-05-22,,"asked; no known path from this connector to the company; stronger path existed via Marcus Aldridge (direct, 0.13)",2026-05-22,Y,Y,Y,,N,2,yes,raw_ask:crm-name,asked with no known path,,,
R1039,C033,Ravensmoor Defense,Head of Developer Productivity,Nadia Okonkwo,2026-01-29,asking again: Ravensmoor Defense. Head of Developer Productivity. Happy to draft the forward myself if someone can vouch.,2000000,High,Stalled,,,,not asked; no path to this company in the network,,,,,,N,3,yes,crm-name,no,,"path exists, never routed",
R1040,C020,Ironvale Steel,Chief Technology Officer,Sloane Fairweather,2026-06-29,trying to reach Chief Technology Officer at Ironvale Steel — anyone have a path?,80000,High,Intro sent,Marcus Aldridge,,0.208,"recommended, not yet asked; direct path via Tanvi Eastcott (Chief Data Officer)",,,,,,N,3,yes,crm-name,no,"intro claimed, none logged",,
R1041,C002,Apex Logistics,SVP Digital,Hana Nakashima,2025-12-02,trying to reach SVP Digital at Apex Logistics — anyone have a path?,750000,Medium,Open,Marcus Aldridge,,0.133,"recommended, not yet asked; direct path via Curtis Prendergast (SVP Digital)",,,,,,N,2,yes,crm-name,no,,,
R1042,C007,Brightmoor Energy,Chief Technology Officer,Imani Mkhize,2026-06-01,"Brightmoor Energy is the target. Our champion at Kingsmere Retail Group used to work with their team, and I think Apex Logistics is a supplier of theirs. Any path?",80000,High,Stalled,Elena Duvall,2026-06-05,0.129,asked; direct path via Idris Drummond (Chief Digital Officer),2026-06-05,Y,Y,Y,,N,3,yes,raw_ask:crm-name,no,"intro logged, filed as stalled",,
R1043,C050,Copperline Water,Chief Technology Officer,Yusuf Petrossian,2026-03-19,who do we know at Copperline Water? Chief Technology Officer would be ideal but I'll take anyone senior,150000,High,Intro sent,,,,not asked; no path to this company in the network,,,,,,N,2,yes,new-company,no CRM account,"intro claimed, none logged",company has no CRM record,
R1044,,Meridian Peak,Chief Data Officer,Imani Mkhize,2026-05-03,who knows someone at Meridian Peak?,750000,High,Open,Priya Raghunathan,2026-05-07,,asked; no known path from this connector to the company,2026-05-07,Y,Y,N,,N,2,yes,fund-collision,bare name is a fund and a customer; asked with no known path,,fund or operating company — ask the requester,
R1045,C024,Marlowe Freight Systems,VP Enterprise Architecture,Yusuf Petrossian,2025-09-06,who do we know at Marlowe Freight Systems? VP Enterprise Architecture would be ideal but I'll take anyone senior,750000,High,Closed - no path,Marcus Aldridge,2025-09-08,0.161,asked; direct path via Marcus Merriweather (Chief Data Officer),2025-09-08,Y,Y,N,,N,0,no replies,crm-name,no,"closed as no-path, path exists",,
R1046,,,Head of Developer Productivity,Curtis Hartigan,2026-06-08,Freya Thackeray-Underhill is the person I need. Pretty sure they're a Head of Developer Productivity somewhere in Consumer.,80000,Medium,Open,Priya Raghunathan,2026-06-09,,asked; no known path from this connector to the company,2026-06-09,Y,N,N,,N,0,no replies,unresolved,company not identifiable; asked with no known path,,,
R1047,C029,Pelham Beverage,Director of Software Engineering,Rafael Salcedo,2025-08-17,"Calderon Aerospace introduced us to Kestrel Airlines, but the account I actually need is Pelham Beverage (Director of Software Engineering).",250000,High,Stalled,,,,not asked; no path to this company in the network,,,,,,N,2,yes,raw_ask:crm-name,no,,already introduced,
R1048,C005,Bexley Bioworks,Chief Data Officer,Bertrand Vandermolen,2026-04-14,any connections into Bexley Bioworks? we're up against a renewal window and I need an intro to Chief Data Officer,750000,High,Stalled,Priya Raghunathan,,0.455,"recommended, not yet asked; board path via CEO / exec team",,,,,,N,2,yes,crm-name,no,,,
R1049,C033,Ravensmoor Defense,Chief Digital Officer,Nadia Okonkwo,2025-10-07,long shot — Ravensmoor Defense. Rhys Ferreira-Ingleby (Chief Digital Officer). Anyone?,750000,Critical,Open,,,,not asked; no path to this company in the network,,,,,,N,3,yes,crm-name,no,,"path exists, never routed",
R1050,C030,Pemberton Retail,Head of Developer Productivity,Curtis Hartigan,2025-09-05,trying to reach Head of Developer Productivity at Pemberton Retail — anyone have a path?,400000,Medium,Open,,,,not asked; no path to this company in the network,,,,,,N,0,no replies,crm-name,no,,no path on the roster,
R1051,,,VP Engineering,Hana Nakashima,2026-04-17,"anyone connected to Solveig Dobrescu-Mkhize? They run engineering at a large logistics business, I don't have the entity name handy",2000000,High,Open,Tomás Beckett,2026-04-19,,asked; no known path from this connector to the company,2026-04-19,N,N,N,,N,2,yes,unresolved,company not identifiable; asked with no known path,,,
R1052,C031,Priorwood Chemicals,Head of Platform Engineering,Yusuf Petrossian,2025-08-19,asking again: Priorwood Chemicals. Head of Platform Engineering. Happy to draft the forward myself if someone can vouch.,80000,Low,Open,Tomás Beckett,2025-08-20,0.048,"asked; direct path via Curtis Marchetti (VP Enterprise Architecture); stronger path existed via Elena Duvall (direct, 0.11)",2025-08-20,N,N,N,,N,1,yes,crm-name,no,,,
R1053,C036,Strathmore Rail,VP Data & Analytics,Rafael Salcedo,2026-06-16,asking again: Strathmore Rail. VP Data & Analytics. Happy to draft the forward myself if someone can vouch.,400000,Medium,Stalled,Marcus Aldridge,2026-06-22,0.045,"asked; direct path via Tomás Dobrescu (VP Engineering); stronger path existed via Tomás Beckett (direct, 0.05)",2026-06-22,N,N,N,,N,0,no replies,domain-stem,no,,,
R1054,C014,Kestrel Airlines,Chief Operating Officer,Nadia Okonkwo,2026-01-10,trying to reach Chief Operating Officer at Kestrel Airlines — anyone have a path?,1200000,Low,Routed,,,,not asked; no path to this company in the network,,,,,,N,2,yes,crm-name,no,,no path on the roster,
R1055,C046,vireosystems.com,Chief Digital Officer,Rafael Salcedo,2026-07-08,"looking for a path to Noor Isenberg-Havercamp — email domain is vireosystems.com, that's all I have",1200000,Critical,Open,Priya Raghunathan,,0.318,"recommended, not yet asked; board path via CEO / exec team",,,,,,N,1,yes,raw_ask:name-exact,no CRM account,,,
R1056,,,VP Engineering,Sloane Fairweather,2025-08-25,Elena Bellinger-Havercamp is the person I need. Pretty sure they're a VP Engineering somewhere in Healthcare.,1200000,High,Open,,,,not asked; company unresolved,,,,,,N,2,yes,unresolved,company not identifiable,,no company named in the ask,
R1057,C018,Harrowgate Health,Chief Information Officer,Curtis Hartigan,2026-06-16,any connections into Harrowgate Health? we're up against a renewal window and I need an intro to Chief Information Officer,250000,High,Stalled,Tomás Beckett,2026-06-21,0.079,asked; direct path via Marcus Salcedo (Director of Software Engineering),2026-06-21,Y,N,N,,N,3,yes,crm-name,no,,,
R1058,C016,Gravenhurst Motors,Chief Data Officer,Curtis Hartigan,2026-01-01,"need help getting to Gravenhurst Motors. Imani Salcedo-Prendergast is the Chief Data Officer there, cold outbound is going nowhere",80000,Medium,Open,Priya Raghunathan,2026-01-02,0.147,asked; investor path via CEO / exec team,2026-01-02,N,N,N,,N,2,yes,crm-name,no,,,
R1059,C008,Cindermill Mining,VP Data & Analytics,Bertrand Vandermolen,2025-09-06,"Cindermill Mining is the target. Our champion at Quillon Pharma used to work with their team, and I think Pemberton Retail is a supplier of theirs. Any path?",250000,High,Open,Elena Duvall,,0.119,"recommended, not yet asked; direct path via Bertrand Glückstein (Chief Data Officer)",,,,,,N,1,yes,raw_ask:name-prefix,no,,,
R1060,C046,Vireo Systems,VP Enterprise Architecture,Nadia Okonkwo,2025-08-15,"does anyone know anyone at Vireo Systems? looking for VP Enterprise Architecture, ideally warm",80000,Medium,Open,Elena Duvall,2025-08-19,0.131,"asked; direct path via Arjun Cathcart (Head of Developer Productivity); stronger path existed via Priya Raghunathan (board, 0.32)",2025-08-19,N,N,N,,N,0,no replies,new-company,no CRM account,,,
R1061,C030,Pemberton Retail,Head of Developer Productivity,Bertrand Vandermolen,2026-02-21,"does anyone know anyone at Pemberton Retail? looking for Head of Developer Productivity, ideally warm",1200000,Medium,Stalled,,,,not asked; no path to this company in the network,,,,,,N,2,yes,crm-name,no,,no path on the roster,
R1062,C022,Larkhall Software,Head of Developer Productivity,Bertrand Vandermolen,2026-05-09,who do we know at Larkhall Software? Head of Developer Productivity would be ideal but I'll take anyone senior,400000,Critical,Intro sent,,,,not asked; no path to this company in the network,,,,,,N,2,yes,crm-name,no,"intro claimed, none logged",no path on the roster,
R1063,C035,Silverbrook Paper,Chief Operating Officer,Sloane Fairweather,2025-11-06,trying to reach Chief Operating Officer at Silverbrook Paper — anyone have a path?,80000,High,Routed,Owen Trask,,0.041,"recommended, not yet asked; direct path via Elena Rushworth (Head of Automation)",,,,,,N,3,yes,crm-name,no,,,
R1064,C039,Thistledown Energy,Chief Data Officer,Yusuf Petrossian,2025-08-14,trying to reach Chief Data Officer at Thistledown Energy — anyone have a path?,1200000,Low,Routed,,,,not asked; no path to this company in the network,,,,,,N,2,yes,crm-name,no,,no path on the roster,
R1065,C019,Hollowbrook Grocers,Director of Software Engineering,Bertrand Vandermolen,2026-04-08,"Volney Industrial Systems introduced us to Halcyon Grid, but the account I actually need is Hollowbrook Grocers (Director of Software Engineering).",80000,High,Stalled,Priya Raghunathan,,0.205,"recommended, not yet asked; board path via CEO / exec team",,,,,,N,1,yes,raw_ask:crm-name,no,,,
R1066,C058,Kingsmere Retail Group,Chief Digital Officer,Curtis Hartigan,2026-06-25,any connections into Kingsmere Retail Group? we're up against a renewal window and I need an intro to Chief Digital Officer,750000,Medium,Open,Yusuf Petrossian,2026-07-01,,"asked Yusuf Petrossian, who is not on the connector roster",2026-07-01,Y,N,N,,Y,1,no,new-company,no CRM account; asked person not on roster,,,
R1067,C045,Redtree Foods,Head of Platform Engineering,Curtis Hartigan,2025-10-22,"does anyone know anyone at Redtree Foods? looking for Head of Platform Engineering, ideally warm",1200000,Medium,Open,Priya Raghunathan,,0.229,"recommended, not yet asked; investor path via CEO / exec team",,,,,,N,0,no replies,new-company,no CRM account,,,
R1068,C049,Calderon Aerospace,Chief Digital Officer,Rafael Salcedo,2026-02-14,long shot — Calderon Aerospace. Emeka Ingleby-Brenneman (Chief Digital Officer). Anyone?,150000,Medium,Closed - no path,Priya Raghunathan,2026-02-15,0.144,asked; direct path via Camille Fairweather (VP Engineering),2026-02-15,N,N,N,,N,0,no replies,new-company,no CRM account,,,
R1069,C003,Apex Logistics Group,SVP Digital,Sloane Fairweather,2025-10-30,any connections into Apex Logistics Group? we're up against a renewal window and I need an intro to SVP Digital,1200000,Medium,Closed - no path,Marcus Aldridge,2025-11-01,0.168,asked; direct path via Astrid Salcedo (VP Data & Analytics),2025-11-01,N,N,N,,N,0,no replies,domain-stem,no,,,
R1070,C058,Kingsmere Retail Group,SVP Digital,Imani Mkhize,2026-05-07,trying to reach SVP Digital at Kingsmere Retail Group. I know we sell into Pelham Beverage and Larchmont Aerospace — could either of those relationships get us there?,400000,High,Open,Dana Whitfield,,0.145,"recommended, not yet asked; direct path via Saoirse Quillane (VP Data & Analytics)",,,,,,N,2,yes,raw_ask:new-company,no CRM account,,,
R1071,C010,Duncastle Hotels,Chief Digital Officer,Curtis Hartigan,2026-01-29,trying to reach Chief Digital Officer at Duncastle Hotels. I know we sell into Blackwood Industrial and Ellerby Semiconductor — could either of those relationships get us there?,400000,Critical,Closed - no path,Priya Raghunathan,,0.205,"recommended, not yet asked; board path via CEO / exec team",,,,,,N,0,no replies,raw_ask:name-prefix,no,,,
R1072,C018,Harrowgate Health,SVP Digital,Sloane Fairweather,2025-10-31,long shot — Harrowgate Health. Liesel Marchetti-Wolstenholme (SVP Digital). Anyone?,750000,Low,Open,Tomás Beckett,2025-11-03,0.079,asked; direct path via Marcus Salcedo (Director of Software Engineering),2025-11-03,N,N,N,,N,2,yes,crm-name,no,,,
R1073,C042,Volney Industrial Systems,Chief Information Officer,Nadia Okonkwo,2025-12-20,"need help getting to Volney Industrial Systems. Anouk Underhill-Hartigan is the Chief Information Officer there, cold outbound is going nowhere",80000,Low,Closed - no path,,,,not asked; no path to this company in the network,,,,,,N,2,yes,crm-name,no,,account is Closed Lost,
R1074,C045,Redtree Foods,VP Data & Analytics,Bertrand Vandermolen,2026-06-03,trying to reach VP Data & Analytics at Redtree Foods — anyone have a path?,750000,High,Stalled,Priya Raghunathan,,0.229,"recommended, not yet asked; investor path via CEO / exec team",,,,,,N,2,yes,new-company,no CRM account,,,
R1075,C046,Vireo Systems,VP Engineering,Hana Nakashima,2026-02-25,who do we know at Vireo Systems? VP Engineering would be ideal but I'll take anyone senior,750000,Medium,Stalled,Priya Raghunathan,,0.318,"recommended, not yet asked; board path via CEO / exec team",,,,,,N,2,yes,new-company,no CRM account,,,
R1076,C009,Cobalt Lane Capital Markets,Chief Digital Officer,Imani Mkhize,2026-01-27,"we need Cobalt Lane Capital Markets. Not Ferrowick Insurance — that's a different entity and we already have that one. Also spoke to Apex Logistics last week, unrelated.",250000,Critical,Open,Tomás Beckett,2026-01-27,0.080,"asked; direct path via Greta Petrossian (Head of Automation); stronger path existed via Priya Raghunathan (direct, 0.09)",2026-01-27,Y,Y,N,,N,2,yes,raw_ask:crm-name,no,,,
R1077,C027,Nortonbury Logistics,Head of Developer Productivity,Rafael Salcedo,2026-02-26,trying to reach Head of Developer Productivity at Nortonbury Logistics — anyone have a path?,750000,Low,Open,Marcus Aldridge,2026-03-04,0.180,asked; direct path via Anouk Kirkbride (Head of Developer Productivity),2026-03-04,N,N,N,,N,0,no replies,crm-name,no,,,
R1078,C009,Cobalt Lane Capital Markets,VP Engineering,Hana Nakashima,2025-11-11,asking again: Cobalt Lane Capital Markets. VP Engineering. Happy to draft the forward myself if someone can vouch.,2000000,Medium,Intro sent,Tomás Beckett,2025-11-16,0.080,"asked; direct path via Greta Petrossian (Head of Automation); stronger path existed via Priya Raghunathan (direct, 0.09)",2025-11-16,Y,Y,Y,,N,1,yes,crm-name,no,,,
R1079,,Cobalt Lane,Chief Operating Officer,Curtis Hartigan,2026-06-23,who knows someone at Cobalt Lane?,150000,Medium,Closed - no path,,,,not asked; company unresolved,,,,,,N,2,no,fund-collision,bare name is a fund and a customer,,fund or operating company — ask the requester,
R1080,C042,Volney Industrial Systems,VP Engineering,Hana Nakashima,2026-01-14,trying to reach VP Engineering at Volney Industrial Systems — anyone have a path?,750000,High,Open,,,,not asked; no path to this company in the network,,,,,,N,3,yes,crm-name,no,,account is Closed Lost,
R1081,C034,Sablefield Motors,SVP Digital,Curtis Hartigan,2025-09-30,who do we know at Sablefield Motors? SVP Digital would be ideal but I'll take anyone senior,80000,Low,Open,,,,not asked; no path to this company in the network,,,,,,N,2,yes,crm-name,no,,account is Closed Lost,
R1082,C010,Duncastle Hotels,Chief Information Officer,Sloane Fairweather,2025-08-02,trying to reach Chief Information Officer at Duncastle Hotels. I know we sell into Wrenfield Robotics and Yarrowdale Media — could either of those relationships get us there?,400000,Medium,Stalled,Priya Raghunathan,2025-08-05,0.205,asked; board path via CEO / exec team,2025-08-05,Y,N,N,,N,3,yes,raw_ask:name-prefix,no,,,
