company_id,company_name,also_known_as,domain,industry,crm_account_ids,duplicate_accounts,owner,stage,value_usd,largest_request_usd,total_requests,open_requests,distinct_requesters,targets_wanted,latest_request_id,latest_request_date,latest_request_status,routed_to,routed_on,route_reason,paths_available,durable_paths,best_path_type,someone_offered,days_since_movement,checked_in_on
C011,Ellerby Semiconductor,"Ellerby Semiconductor, Inc.",ellerbysemi.com,Semiconductors,A1020 | A91020,yes - owners disagree,Sloane Fairweather | Yusuf Petrossian,Negotiation,400000,2000000,1,1,1,VP Engineering,R1104,2025-12-20,Open,Tomás Beckett,2025-12-22,"asked; direct path via Sunniva Højgaard (Chief Digital Officer); stronger path existed via Dana Whitfield (direct, 0.06)",8,8,investor_network,no,252,
C012,Falkirk Shipping,,falkirkshipping.com,Logistics,A1040,no,Curtis Hartigan,Prospect,400000,,0,0,0,,,,,,,,6,6,investor,no,181,
C013,Ferrowick Insurance,,ferrowick.com,Insurance,A1016,no,Hana Nakashima,Negotiation,1400000,,0,0,0,,,,,,,,0,0,,no,48,
C014,Kestrel Airlines,,flykestrel.com,Airlines,A1012,no,Rafael Salcedo,Negotiation,120000,1200000,1,1,1,Chief Operating Officer,R1054,2026-01-10,Routed,Espen Rushworth-Oyelaran,,"allocated to 2026-09 Espen Rushworth-Oyelaran batch, not yet asked; investor_network path via CEO / exec team",2,2,investor_network,no,239,
C015,Glasspoint Health,,glasspointhealth.com,Healthcare,A1017,no,Bertrand Vandermolen,Closed Lost,600000,1200000,1,1,1,Chief Information Officer,R1025,2026-02-25,Open,Elena Duvall,2026-02-28,"asked; no known path from this connector to the company; stronger path existed via Marcus Aldridge (direct, 0.09)",4,4,investor_network,no,78,
C016,Gravenhurst Motors,,gravenhurst.com,Automotive,A1041,no,Sloane Fairweather,Negotiation,400000,2000000,9,6,5,Chief Data Officer | Chief Digital Officer | Chief Operating Officer | Head of Platform Engineering | VP Engineering | VP Enterprise Architecture,R1122,2026-07-19,Intro sent,Curtis Hartigan,2026-07-25,"asked Curtis Hartigan, who is not on the connector roster",9,6,offer,yes,27,
C017,Halcyon Grid,,halcyongrid.com,Utilities,A1008,no,Bertrand Vandermolen,Negotiation,600000,2000000,3,3,3,Chief Digital Officer | Head of Platform Engineering | SVP Digital,R1007,2026-06-01,Open,,,not asked; no path to this company in the network,0,0,,no,97,
C018,Harrowgate Health,,harrowgatehealth.com,Healthcare,A1050,no,Imani Mkhize,Pilot,3500000,1200000,9,7,7,Chief Digital Officer | Chief Information Officer | Chief Operating Officer | SVP Digital | VP Enterprise Architecture,R1057,2026-06-16,Stalled,Tomás Beckett,2026-06-21,asked; direct path via Marcus Salcedo (Director of Software Engineering),11,10,offer,yes,65,
C019,Hollowbrook Grocers,Hollowbrook Grocers Inc.,hollowbrook.com,Retail,A1024 | A91024,yes - owners disagree,Imani Mkhize | Nadia Okonkwo,Pilot,600000,2000000,4,4,2,Director of Software Engineering | VP Engineering | VP Enterprise Architecture,R1084,2026-07-13,Open,Priya Raghunathan,,"allocated to 2026-09 Priya Raghunathan batch, not yet asked; investor path via CEO / exec team",6,5,investor,yes,55,
C020,Ironvale Steel,,ironvalesteel.com,Industrials,A1009,no,Hana Nakashima,Negotiation,600000,400000,5,2,4,Chief Data Officer | VP Enterprise Architecture,R1040,2026-06-29,Intro sent,,,not live; best path via direct path via Tanvi Eastcott (Chief Data Officer),8,8,investor_network,no,69,
C021,Larchmont Aerospace,,larchmontaero.com,Aerospace,A1042,no,Bertrand Vandermolen,Closed Lost,400000,1200000,4,1,3,Head of Platform Engineering,R1030,2026-07-01,Open,,,not asked; no path to this company in the network,0,0,,no,67,
C022,Larkhall Software,,larkhall.io,Technology,A1022,no,Imani Mkhize,Prospect,250000,400000,2,1,1,Chief Technology Officer,R1010,2026-05-24,Open,,,not asked; no path to this company in the network,0,0,,no,105,
C023,Marchford Clinics,,marchfordclinics.com,Healthcare,A1018,no,Curtis Hartigan,Prospect,2200000,2000000,6,5,5,Chief Information Officer | Chief Technology Officer | Head of Developer Productivity | Head of Platform Engineering | VP Engineering,R1004,2026-07-06,Open,,,"not asked; capacity exhausted this cycle; best path via Marcus Aldridge (direct, 0.08)",3,3,direct,no,62,
C024,Marlowe Freight Systems,,marlowefreight.com,Logistics,A1047,no,Imani Mkhize,Pilot,600000,1200000,3,2,3,Chief Digital Officer | Chief Technology Officer,R1129,2026-05-06,Routed,Marcus Aldridge,2026-05-07,asked; direct path via Marcus Merriweather (Chief Data Officer),3,3,investor_network,no,110,
C025,Meridian Holdings,Meridian Peak Foods,meridianpeakfoods.com,Consumer,A1034,no,Bertrand Vandermolen,Evaluation,250000,750000,2,1,2,VP Engineering,R1168,2026-07-22,Open,Priya Raghunathan,2026-07-23,"asked; direct path via Dev Ingleby (Head of Platform Engineering); stronger path existed via Dana Whitfield (direct, 0.18)",4,4,investor_network,no,33,
C026,Northwind Freight,,northwindfreight.com,Logistics,A1003,no,Curtis Hartigan,Pilot,2200000,750000,5,3,4,Chief Data Officer | Chief Digital Officer | VP Engineering,R1100,2026-05-08,Closed - no path,,,not asked; no path to this company in the network,0,0,,no,121,
C027,Nortonbury Logistics,,nortonbury.com,Logistics,A1039,no,Bertrand Vandermolen,Evaluation,600000,1200000,3,2,3,Chief Operating Officer | Head of Developer Productivity,R1013,2026-05-10,Open,Perrine Brenneman-Wexford,,"allocated to 2026-09 Perrine Brenneman-Wexford batch, not yet asked; investor_network path via CEO / exec team",10,10,investor_network,no,119,
C028,Osric Networks,,osricnetworks.com,Telecom,A1044,no,Nadia Okonkwo,Discovery,250000,2000000,4,4,4,Chief Data Officer | Chief Digital Officer | Director of Software Engineering | SVP Digital,R1028,2026-07-18,Open,,,"not asked; already introduced: Elena Duvall on 2026-04-02 (R1163, meeting booked); best path via Priya Raghunathan (offer, 0.16)",5,3,investor_network,yes,50,
C029,Pelham Beverage,,pelhambev.com,Consumer,A1043,no,Yusuf Petrossian,Evaluation,3500000,750000,3,3,3,Director of Software Engineering | Head of Platform Engineering,R1176,2026-04-03,Stalled,Imani Mkhize,2026-04-03,"asked Imani Mkhize, who is not on the connector roster",1,0,offer,yes,140,
C030,Pemberton Retail,,pembertonretail.com,Retail,A1023,no,Hana Nakashima,Negotiation,1400000,1200000,4,3,4,Head of Developer Productivity | Head of Platform Engineering,R1165,2026-04-30,Open,,,not asked; no path to this company in the network,0,0,,no,129,
C031,Priorwood Chemicals,,priorwood.com,Chemicals,A1030,no,Bertrand Vandermolen,Discovery,3500000,2000000,9,7,6,Chief Data Officer | Chief Information Officer | Chief Operating Officer | Chief Technology Officer | Head of Platform Engineering | VP Enterprise Architecture,R1033,2026-06-02,Closed - no path,Tomás Beckett,2026-06-07,"asked; direct path via Curtis Marchetti (VP Enterprise Architecture); stronger path existed via Elena Duvall (direct, 0.11)",9,9,investor_network,no,87,
C032,Quillon Pharma,,quillonpharma.com,Pharma,A1019,no,Rafael Salcedo,Closed Lost,3500000,750000,2,0,2,,R1178,2026-05-16,Closed - no path,,,not live; best path via direct path via Renata Petrossian (Chief Data Officer),15,15,investor_network,no,113,
C033,Ravensmoor Defense,,ravensmoor.com,Defense,A1031,no,Hana Nakashima,Negotiation,1400000,2000000,4,2,3,Chief Digital Officer | Head of Developer Productivity,R1005,2026-03-05,Closed - no path,,,not live; best path via offered in Slack (knows Head of Platform),1,0,offer,yes,185,
C034,Sablefield Motors,,sablefield.com,Automotive,A1005,no,Hana Nakashima,Closed Lost,3500000,2000000,5,5,2,Chief Data Officer | Chief Information Officer | SVP Digital | VP Data & Analytics,R1036,2026-05-19,Open,,,not asked; no path to this company in the network,0,0,,no,110,
C035,Silverbrook Paper,Silverbrook Paper Corp,silverbrookpaper.com,Materials,A1032 | A91032,yes - owners disagree,Curtis Hartigan | Yusuf Petrossian,Closed Lost,600000,2000000,2,2,2,Chief Operating Officer | Chief Technology Officer,R1008,2026-01-07,Open,Owen Trask,2026-01-07,asked; direct path via Elena Rushworth (Head of Automation),1,1,direct,no,119,
C036,Strathmore Holdings,Strathmore Rail,strathmorerail.com,Transport,A1026,no,Imani Mkhize,Prospect,250000,1200000,7,6,5,Chief Operating Officer | Chief Technology Officer | VP Data & Analytics | VP Engineering,R1125,2026-07-05,Open,Tomás Beckett,,"allocated to 2026-09 Tomás Beckett batch, not yet asked; direct path via Bertrand Lomsadze (Chief Digital Officer)",13,13,investor_network,no,63,
C037,Sundermere Bank,,sundermere.com,Financial Services,A1014,no,Imani Mkhize,Pilot,600000,400000,1,1,1,Chief Data Officer,R1034,2025-10-13,Open,Nadia Okonkwo,,"allocated to 2026-09 Nadia Okonkwo batch, not yet asked; offered in Slack (knows Head of Platform)",1,0,offer,yes,94,
C038,Tessellate Payments,,tessellate.co,Fintech,A1037,no,Nadia Okonkwo,Negotiation,120000,1200000,1,1,1,Chief Data Officer,R1026,2025-12-12,Routed,Owen Trask,2025-12-15,"asked; direct path via Mei Dobrescu (Engineering Manager); stronger path existed via Priya Raghunathan (direct, 0.15)",6,6,direct,no,262,
C039,Thistledown Energy,,thistledownenergy.com,Energy,A1046,no,Yusuf Petrossian,Pilot,120000,1200000,6,5,5,Chief Data Officer | Chief Operating Officer | Head of Developer Productivity | Head of Platform Engineering | VP Engineering,R1083,2026-06-04,Open,,,not asked; no path to this company in the network,0,0,,no,94,
C040,Thornbury Financial,THORNBURYFINANCIAL,thornburyfinancial.com,Financial Services,A1015,no,Sloane Fairweather,Pilot,400000,2000000,3,2,3,Chief Information Officer | Director of Software Engineering,R1105,2025-09-14,Open,,,not asked; no path to this company in the network,0,0,,no,206,
C041,Vantage Ridge Utilities,,vantageridge.com,Utilities,A1007,no,Rafael Salcedo,Discovery,250000,1200000,2,1,1,Chief Operating Officer,R1001,2026-04-14,Open,Marcus Aldridge,,"allocated to 2026-09 Marcus Aldridge batch, not yet asked; direct path via Sabine Dellinger (Chief Data Officer)",3,3,investor_network,no,145,
C042,Volney Industrial Systems,,volney.com,Industrials,A1049,no,Yusuf Petrossian,Closed Lost,2200000,2000000,4,3,4,Chief Digital Officer | VP Data & Analytics | VP Engineering,R1080,2026-01-14,Open,Curtis Sandoval-Glückstein,,"allocated to 2026-09 Curtis Sandoval-Glückstein batch, not yet asked; investor_network path via CEO / exec team",4,4,investor_network,no,235,
C043,Wrenfield Robotics,WRENFIELDROBOTICS,wrenfield.ai,Technology,A1036,no,Rafael Salcedo,Discovery,1400000,1200000,3,3,3,Chief Technology Officer | Head of Developer Productivity | SVP Digital,R1018,2026-05-31,Open,Matteo Ferreira-Yarrow,,"allocated to 2026-09 Matteo Ferreira-Yarrow batch, not yet asked; investor_network path via CEO / exec team",3,3,investor_network,no,98,
C044,Yarrowdale Media,,yarrowdale.com,Media,A1028,no,Rafael Salcedo,Evaluation,1400000,150000,1,1,1,VP Data & Analytics,R1169,2026-07-10,Stalled,Bertrand Vandermolen,2026-07-12,"asked Bertrand Vandermolen, who is not on the connector roster",4,3,investor_network,yes,40,
C045,Redtree Foods,,redtreefoods.com,,,no,,,,1200000,4,4,3,Chief Digital Officer | Head of Platform Engineering | VP Data & Analytics | VP Engineering,R1074,2026-06-03,Stalled,Dana Whitfield,,"allocated to 2026-09 Dana Whitfield batch, not yet asked; offered in Slack (knows VP Enterprise Architecture)",9,8,offer,yes,95,
C046,Vireo Systems,,vireosystems.com,,,no,,,,1200000,9,5,4,Chief Data Officer | Chief Digital Officer | VP Engineering | VP Enterprise Architecture,R1055,2026-07-08,Open,Priya Raghunathan,,"allocated to 2026-09 Priya Raghunathan batch, not yet asked; investor path via CEO / exec team",4,4,investor,no,60,
C049,Calderon Aerospace,,,,,no,,,,150000,2,1,2,Head of Developer Productivity,R1101,2026-05-09,Open,Priya Raghunathan,2026-05-11,asked; direct path via Camille Fairweather (VP Engineering),4,4,direct,no,99,
C050,Copperline Water,,,,,no,,,,250000,3,0,3,,R1151,2026-07-20,Closed - no path,,,not asked; no path to this company in the network,0,0,,no,48,
C058,Kingsmere Retail Group,,,,,no,,,,1200000,8,7,5,Chief Digital Officer | Chief Operating Officer | SVP Digital | VP Engineering | VP Enterprise Architecture,R1066,2026-06-25,Open,Yusuf Petrossian,2026-07-01,"asked Yusuf Petrossian, who is not on the connector roster",7,6,offer,yes,62,
C059,Marrow Point Airways,,,,,no,,,,2000000,5,4,5,Chief Digital Officer | Chief Information Officer | Chief Technology Officer | VP Data & Analytics,R1194,2026-06-28,Open,,,not asked; no path to this company in the network,0,0,,no,70,
