request_id,company_id,company_name,kind,method,confidence,needs_review,candidates,extracted,opening_message
R1057,C018,Harrowgate Health,company,name-exact,1.00,no,,Harrowgate Health,any connections into Harrowgate Health? we're up against a renewal window and I need an intro to Chief Information Officer
R1058,C016,Gravenhurst Motors,company,name-exact,1.00,no,,Gravenhurst Motors,"need help getting to Gravenhurst Motors. Imani Salcedo-Prendergast is the Chief Data Officer there, cold outbound is going nowhere"
R1059,C008,Cindermill Holdings,company,name-prefix,0.78,no,C008 Cindermill Holdings (company),Cindermill Mining,"Cindermill Mining is the target. Our champion at Quillon Pharma used to work with their team, and I think Pemberton Retail is a supplier of theirs. Any path?"
R1060,,,,unmatched,0.00,yes,,Vireo Systems,"does anyone know anyone at Vireo Systems? looking for VP Enterprise Architecture, ideally warm"
R1061,C030,Pemberton Retail,company,name-exact,1.00,no,,Pemberton Retail,"does anyone know anyone at Pemberton Retail? looking for Head of Developer Productivity, ideally warm"
R1062,C022,Larkhall Software,company,name-exact,1.00,no,,Larkhall Software,who do we know at Larkhall Software? Head of Developer Productivity would be ideal but I'll take anyone senior
R1063,C035,Silverbrook Paper,company,name-exact,1.00,no,,Silverbrook Paper,trying to reach Chief Operating Officer at Silverbrook Paper — anyone have a path?
R1064,C039,Thistledown Energy,company,name-exact,1.00,no,,Thistledown Energy,trying to reach Chief Data Officer at Thistledown Energy — anyone have a path?
R1065,C019,Hollowbrook Grocers,company,name-exact,1.00,no,,Hollowbrook Grocers,"Volney Industrial Systems introduced us to Halcyon Grid, but the account I actually need is Hollowbrook Grocers (Director of Software Engineering)."
R1066,,,,unmatched,0.00,yes,,Kingsmere Retail Group,any connections into Kingsmere Retail Group? we're up against a renewal window and I need an intro to Chief Digital Officer
R1067,,,,unmatched,0.00,yes,,Redtree Foods,"does anyone know anyone at Redtree Foods? looking for Head of Platform Engineering, ideally warm"
R1068,,,,unmatched,0.00,yes,,Calderon Aerospace,long shot — Calderon Aerospace. Emeka Ingleby-Brenneman (Chief Digital Officer). Anyone?
R1069,C003,Apex Holdings,company,domain-stem,0.95,no,,Apex Logistics Group,any connections into Apex Logistics Group? we're up against a renewal window and I need an intro to SVP Digital
R1070,,,,unmatched,0.00,yes,,Kingsmere Retail Group,trying to reach SVP Digital at Kingsmere Retail Group. I know we sell into Pelham Beverage and Larchmont Aerospace — could either of those relationships get us there?
R1071,C010,Duncastle Holdings,company,name-prefix,0.78,no,C010 Duncastle Holdings (company),Duncastle Hotels,trying to reach Chief Digital Officer at Duncastle Hotels. I know we sell into Blackwood Industrial and Ellerby Semiconductor — could either of those relationships get us there?
R1072,C018,Harrowgate Health,company,name-exact,1.00,no,,Harrowgate Health,long shot — Harrowgate Health. Liesel Marchetti-Wolstenholme (SVP Digital). Anyone?
R1073,C042,Volney Industrial Systems,company,name-exact,1.00,no,,Volney Industrial Systems,"need help getting to Volney Industrial Systems. Anouk Underhill-Hartigan is the Chief Information Officer there, cold outbound is going nowhere"
R1074,,,,unmatched,0.00,yes,,Redtree Foods,trying to reach VP Data & Analytics at Redtree Foods — anyone have a path?
R1075,,,,unmatched,0.00,yes,,Vireo Systems,who do we know at Vireo Systems? VP Engineering would be ideal but I'll take anyone senior
R1076,C009,Cobalt Lane Capital Markets,company,name-exact,1.00,no,,Cobalt Lane Capital Markets,"we need Cobalt Lane Capital Markets. Not Ferrowick Insurance — that's a different entity and we already have that one. Also spoke to Apex Logistics last week, unrelated."
R1077,C027,Nortonbury Logistics,company,name-exact,1.00,no,,Nortonbury Logistics,trying to reach Head of Developer Productivity at Nortonbury Logistics — anyone have a path?
R1078,C009,Cobalt Lane Capital Markets,company,name-exact,1.00,no,,Cobalt Lane Capital Markets,asking again: Cobalt Lane Capital Markets. VP Engineering. Happy to draft the forward myself if someone can vouch.
R1079,,,,fund-or-customer,0.50,yes,C009 Cobalt Lane Capital Markets (company) | F003 Cobalt Lane Ventures (fund),Cobalt Lane,who knows someone at Cobalt Lane?
R1080,C042,Volney Industrial Systems,company,name-exact,1.00,no,,Volney Industrial Systems,trying to reach VP Engineering at Volney Industrial Systems — anyone have a path?
R1081,C034,Sablefield Motors,company,name-exact,1.00,no,,Sablefield Motors,who do we know at Sablefield Motors? SVP Digital would be ideal but I'll take anyone senior
R1082,C010,Duncastle Holdings,company,name-prefix,0.78,no,C010 Duncastle Holdings (company),Duncastle Hotels,trying to reach Chief Information Officer at Duncastle Hotels. I know we sell into Wrenfield Robotics and Yarrowdale Media — could either of those relationships get us there?
R1083,C039,Thistledown Energy,company,domain,1.00,no,,thistledownenergy.com,"looking for a path to Perrine Hartigan-Thackeray — email domain is thistledownenergy.com, that's all I have"
R1084,C019,Hollowbrook Grocers,company,name-exact,1.00,no,,Hollowbrook Grocers,"need help getting to Hollowbrook Grocers. Dev Prendergast-Jarrold is the VP Engineering there, cold outbound is going nowhere"
R1085,,,,no-company-named,0.00,yes,,,Matteo Petrossian-Lomsadze is the person I need. Pretty sure they're a Director of Software Engineering somewhere in Financial Services.
R1086,C020,Ironvale Steel,company,name-exact,1.00,no,,Ironvale Steel,who do we know at Ironvale Steel? VP Enterprise Architecture would be ideal but I'll take anyone senior
R1087,,,,fund-or-customer,0.50,yes,C035 Silverbrook Paper (company) | F008 Silverbrook Capital (fund),Silverbrook,who knows someone at Silverbrook?
R1088,,,,fund-or-customer,0.50,yes,C040 Thornbury Financial (company) | F009 Thornbury Equity (fund),Thornbury,need an intro at Thornbury — anyone?
R1089,C020,Ironvale Steel,company,name-exact,1.00,no,,Ironvale Steel,who do we know at Ironvale Steel? VP Enterprise Architecture would be ideal but I'll take anyone senior
R1090,C018,Harrowgate Health,company,name-exact,1.00,no,,Harrowgate Health,any connections into Harrowgate Health? we're up against a renewal window and I need an intro to VP Engineering
R1091,C006,Blackwood Holdings,company,domain-stem,0.95,no,,Blackwood Industrial,who do we know at Blackwood Industrial? Chief Digital Officer would be ideal but I'll take anyone senior
R1092,C031,Priorwood Chemicals,company,name-exact,1.00,no,,Priorwood Chemicals,who do we know at Priorwood Chemicals? VP Enterprise Architecture would be ideal but I'll take anyone senior
R1093,C036,Strathmore Holdings,company,domain-stem,0.95,no,,Strathmore Rail,long shot — Strathmore Rail. Rafael Hartigan-Zubkov (Head of Platform Engineering). Anyone?
R1094,C036,Strathmore Holdings,company,domain-stem,0.95,no,,Strathmore Rail,long shot — Strathmore Rail. Hugo Glückstein-Sandoval (VP Data & Analytics). Anyone?
R1095,,,,no-company-named,0.00,yes,,,Yusuf Sandoval-Drummond is the person I need. Pretty sure they're a Chief Digital Officer somewhere in Transport.
R1096,,,,fund-or-customer,0.50,yes,C035 Silverbrook Paper (company) | F008 Silverbrook Capital (fund),Silverbrook,need an intro at Silverbrook — anyone?
R1097,C030,Pemberton Retail,company,name-exact,1.00,no,,Pemberton Retail,any connections into Pemberton Retail? we're up against a renewal window and I need an intro to VP Data & Analytics
R1098,C031,Priorwood Chemicals,company,name-exact,1.00,no,,Priorwood Chemicals,"need help getting to Priorwood Chemicals. Liesel Merriweather-Lomsadze is the Chief Data Officer there, cold outbound is going nowhere"
R1099,C001,Aldergate Telecom,company,name-exact,1.00,no,,Aldergate Telecom,long shot — Aldergate Telecom. Dana Fairweather-Dellinger (VP Enterprise Architecture). Anyone?
R1100,C026,Northwind Freight,company,name-exact,1.00,no,,Northwind Freight,any connections into Northwind Freight? we're up against a renewal window and I need an intro to Chief Technology Officer
R1101,,,,unmatched,0.00,yes,,Calderon Aerospace,any connections into Calderon Aerospace? we're up against a renewal window and I need an intro to Head of Developer Productivity
R1102,C036,Strathmore Holdings,company,domain-stem,0.95,no,,Strathmore Rail,any connections into Strathmore Rail? we're up against a renewal window and I need an intro to VP Engineering
R1103,C021,Larchmont Aerospace,company,name-exact,1.00,no,,Larchmont Aerospace,trying to reach SVP Digital at Larchmont Aerospace. I know we sell into Apex Logistics Group and Calderon Aerospace — could either of those relationships get us there?
R1104,C011,Ellerby Semiconductor,company,name-exact,1.00,no,,Ellerby Semiconductor,asking again: Ellerby Semiconductor. VP Engineering. Happy to draft the forward myself if someone can vouch.
R1105,C040,Thornbury Financial,company,name-exact,1.00,no,,Thornbury Financial,who do we know at Thornbury Financial? Chief Information Officer would be ideal but I'll take anyone senior
R1106,,,,no-company-named,0.00,yes,,,"anyone connected to Arjun Lindqvist-Lomsadze? They run engineering at a large logistics business, I don't have the entity name handy"
R1107,,,,unmatched,0.00,yes,,Vireo Systems,long shot — Vireo Systems. Ilse Vandermolen-Grimsby (Head of Developer Productivity). Anyone?
R1108,C016,Gravenhurst Motors,company,name-exact,1.00,no,,Gravenhurst Motors,any connections into Gravenhurst Motors? we're up against a renewal window and I need an intro to VP Engineering
R1109,C033,Ravensmoor Defense,company,name-exact,1.00,no,,Ravensmoor Defense,"need help getting to Ravensmoor Defense. Liesel Bellinger-Dellinger is the VP Engineering there, cold outbound is going nowhere"
R1110,,,,no-company-named,0.00,yes,,,"anyone connected to Rosalind Isenberg-Prendergast? They run engineering at a large logistics business, I don't have the entity name handy"
R1111,C041,Vantage Ridge Utilities,company,name-exact,1.00,no,,Vantage Ridge Utilities,who do we know at Vantage Ridge Utilities? Chief Operating Officer would be ideal but I'll take anyone senior
R1112,,,,no-company-named,0.00,yes,,,Nadia Mkhize-Ferreira is the person I need. Pretty sure they're a VP Engineering somewhere in Airlines.
R1113,,,,unmatched,0.00,yes,,Kingsmere Retail Group,who do we know at Kingsmere Retail Group? Chief Digital Officer would be ideal but I'll take anyone senior
R1114,C023,Marchford Clinics,company,name-exact,1.00,no,,Marchford Clinics,trying to reach Head of Platform Engineering at Marchford Clinics — anyone have a path?
R1115,C016,Gravenhurst Motors,company,name-exact,1.00,no,,Gravenhurst Motors,trying to reach SVP Digital at Gravenhurst Motors — anyone have a path?
R1116,,,,unmatched,0.00,yes,,Marrow Point Airways,trying to reach Chief Digital Officer at Marrow Point Airways. I know we sell into Kestrel Airlines and Bexley Bioworks — could either of those relationships get us there?
R1117,C034,Sablefield Motors,company,name-exact,1.00,no,,Sablefield Motors,any connections into Sablefield Motors? we're up against a renewal window and I need an intro to SVP Digital
R1118,C031,Priorwood Chemicals,company,name-exact,1.00,no,,Priorwood Chemicals,trying to reach Chief Operating Officer at Priorwood Chemicals — anyone have a path?
R1119,,,,no-company-named,0.00,yes,,,Freya Havercamp-Drummond is the person I need. Pretty sure they're a VP Enterprise Architecture somewhere in Aerospace.
R1120,C010,Duncastle Holdings,company,name-prefix,0.78,no,C010 Duncastle Holdings (company),Duncastle Hotels,asking again: Duncastle Hotels. Chief Information Officer. Happy to draft the forward myself if someone can vouch.
R1121,C023,Marchford Clinics,company,name-exact,1.00,no,,Marchford Clinics,"Ferrowick Insurance introduced us to Pelham Beverage, but the account I actually need is Marchford Clinics (VP Engineering)."
R1122,C016,Gravenhurst Motors,company,name-exact,1.00,no,,Gravenhurst Motors,"need help getting to Gravenhurst Motors. Greta Bellinger-Fairweather is the SVP Digital there, cold outbound is going nowhere"
R1123,C007,Brightmoor Energy,company,name-exact,1.00,no,,Brightmoor Energy,"does anyone know anyone at Brightmoor Energy? looking for VP Enterprise Architecture, ideally warm"
R1124,C019,Hollowbrook Grocers,company,name-exact,1.00,no,,Hollowbrook Grocers,"need help getting to Hollowbrook Grocers. Anouk Halloran-Lindqvist is the VP Engineering there, cold outbound is going nowhere"
R1125,C036,Strathmore Holdings,company,domain-stem,0.95,no,,Strathmore Rail,asking again: Strathmore Rail. Chief Operating Officer. Happy to draft the forward myself if someone can vouch.
R1126,,,,fund-or-customer,0.50,yes,C009 Cobalt Lane Capital Markets (company) | F003 Cobalt Lane Ventures (fund),Cobalt Lane,path into Cobalt Lane? our champion mentioned them last week
R1127,C017,Halcyon Grid,company,name-exact,1.00,no,,Halcyon Grid,asking again: Halcyon Grid. SVP Digital. Happy to draft the forward myself if someone can vouch.
R1128,,,,unmatched,0.00,yes,,Kingsmere Retail Group,who do we know at Kingsmere Retail Group? VP Enterprise Architecture would be ideal but I'll take anyone senior
R1129,C024,Marlowe Freight Systems,company,name-exact,1.00,no,,Marlowe Freight Systems,"Sundermere Bank introduced us to Redtree Foods, but the account I actually need is Marlowe Freight Systems (Chief Digital Officer)."
R1130,C006,Blackwood Holdings,company,domain-stem,0.95,no,,Blackwood Industrial,trying to reach Director of Software Engineering at Blackwood Industrial — anyone have a path?
R1131,,,,unmatched,0.00,yes,,Vireo Systems,trying to reach Chief Data Officer at Vireo Systems. I know we sell into Volney Industrial Systems and Larchmont Aerospace — could either of those relationships get us there?
R1132,C036,Strathmore Holdings,company,domain-stem,0.95,no,,Strathmore Rail,asking again: Strathmore Rail. Chief Operating Officer. Happy to draft the forward myself if someone can vouch.
R1133,,,,unmatched,0.00,yes,,Marrow Point Airways,long shot — Marrow Point Airways. Mei Eastcott-Thackeray (Chief Technology Officer). Anyone?
R1134,C024,Marlowe Freight Systems,company,name-exact,1.00,no,,Marlowe Freight Systems,"Harrowgate Health introduced us to Copperline Water, but the account I actually need is Marlowe Freight Systems (Chief Technology Officer)."
R1135,,,,unmatched,0.00,yes,,redtreefoods.com,"looking for a path to Ilse Oldfield-Dobrescu — email domain is redtreefoods.com, that's all I have"
R1136,C018,Harrowgate Health,company,name-exact,1.00,no,,Harrowgate Health,who do we know at Harrowgate Health? SVP Digital would be ideal but I'll take anyone senior
R1137,C018,Harrowgate Health,company,name-exact,1.00,no,,Harrowgate Health,trying to reach Chief Digital Officer at Harrowgate Health — anyone have a path?
R1138,C034,Sablefield Motors,company,name-exact,1.00,no,,Sablefield Motors,"does anyone know anyone at Sablefield Motors? looking for Chief Information Officer, ideally warm"
R1139,C007,Brightmoor Energy,company,name-exact,1.00,no,,Brightmoor Energy,asking again: Brightmoor Energy. VP Data & Analytics. Happy to draft the forward myself if someone can vouch.
R1140,C018,Harrowgate Health,company,name-exact,1.00,no,,Harrowgate Health,"need help getting to Harrowgate Health. Freya Lindqvist-Eastcott is the Chief Digital Officer there, cold outbound is going nowhere"
R1141,C020,Ironvale Steel,company,name-exact,1.00,no,,Ironvale Steel,"need help getting to Ironvale Steel. Priya Rushworth-Fairweather is the VP Enterprise Architecture there, cold outbound is going nowhere"
R1142,C023,Marchford Clinics,company,name-exact,1.00,no,,Marchford Clinics,who do we know at Marchford Clinics? Chief Technology Officer would be ideal but I'll take anyone senior
R1143,C016,Gravenhurst Motors,company,name-exact,1.00,no,,Gravenhurst Motors,any connections into Gravenhurst Motors? we're up against a renewal window and I need an intro to Chief Operating Officer
R1144,C008,Cindermill Holdings,company,name-prefix,0.78,no,C008 Cindermill Holdings (company),Cindermill Mining,long shot — Cindermill Mining. Amara Højgaard-Egerton (VP Engineering). Anyone?
R1145,,,,no-company-named,0.00,yes,,,Zaid Falkenrath-Lomsadze is the person I need. Pretty sure they're a SVP Digital somewhere in Financial Services.
R1146,C021,Larchmont Aerospace,company,name-exact,1.00,no,,Larchmont Aerospace,trying to reach Chief Operating Officer at Larchmont Aerospace. I know we sell into Ellerby Semiconductor and Quillon Pharma — could either of those relationships get us there?
R1147,,,,unmatched,0.00,yes,,Kingsmere Retail Group,"does anyone know anyone at Kingsmere Retail Group? looking for VP Enterprise Architecture, ideally warm"
R1148,C039,Thistledown Energy,company,name-exact,1.00,no,,Thistledown Energy,who do we know at Thistledown Energy? Chief Information Officer would be ideal but I'll take anyone senior
R1149,C016,Gravenhurst Motors,company,name-exact,1.00,no,,Gravenhurst Motors,trying to reach Chief Digital Officer at Gravenhurst Motors — anyone have a path?
R1150,C031,Priorwood Chemicals,company,name-exact,1.00,no,,Priorwood Chemicals,long shot — Priorwood Chemicals. Odette Balogun-Dobrescu (Chief Information Officer). Anyone?
R1151,,,,unmatched,0.00,yes,,Copperline Water,trying to reach VP Engineering at Copperline Water — anyone have a path?
R1152,C039,Thistledown Energy,company,name-exact,1.00,no,,Thistledown Energy,trying to reach Head of Developer Productivity at Thistledown Energy — anyone have a path?
R1153,C018,Harrowgate Health,company,name-exact,1.00,no,,Harrowgate Health,"does anyone know anyone at Harrowgate Health? looking for Chief Operating Officer, ideally warm"
R1154,C003,Apex Holdings,company,domain-stem,0.95,no,,Apex Logistics Group,who do we know at Apex Logistics Group? Head of Platform Engineering would be ideal but I'll take anyone senior
R1155,,,,unmatched,0.00,yes,,Vireo Systems,long shot — Vireo Systems. Niall Jarrold-Norrington (VP Engineering). Anyone?
R1156,C043,Wrenfield Robotics,company,name-exact,1.00,no,,Wrenfield Robotics,long shot — Wrenfield Robotics. Astrid Vandermolen-Petrossian (Head of Developer Productivity). Anyone?
R1157,C018,Harrowgate Health,company,name-exact,1.00,no,,Harrowgate Health,"does anyone know anyone at Harrowgate Health? looking for VP Enterprise Architecture, ideally warm"
R1158,C016,Gravenhurst Motors,company,name-exact,1.00,no,,Gravenhurst Motors,any connections into Gravenhurst Motors? we're up against a renewal window and I need an intro to Head of Platform Engineering
R1159,C019,Hollowbrook Grocers,company,name-exact,1.00,no,,Hollowbrook Grocers,"Glasspoint Health introduced us to Pelham Beverage, but the account I actually need is Hollowbrook Grocers (VP Enterprise Architecture)."
R1160,C016,Gravenhurst Motors,company,name-exact,1.00,no,,Gravenhurst Motors,any connections into Gravenhurst Motors? we're up against a renewal window and I need an intro to Director of Software Engineering
R1161,C026,Northwind Freight,company,name-exact,1.00,no,,Northwind Freight,"need help getting to Northwind Freight. Malik Højgaard-Ferreira is the Chief Digital Officer there, cold outbound is going nowhere"
R1162,C023,Marchford Clinics,company,name-exact,1.00,no,,Marchford Clinics,"Marchford Clinics is the target. Our champion at Calderon Aerospace used to work with their team, and I think Meridian Peak Foods is a supplier of theirs. Any path?"
R1163,C028,Osric Networks,company,name-exact,1.00,no,,Osric Networks,"need help getting to Osric Networks. Hana Salcedo-Balogun is the Chief Data Officer there, cold outbound is going nowhere"
R1164,C040,Thornbury Financial,company,domain,1.00,no,,thornburyfinancial.com,"looking for a path to Marisol Glückstein-Havercamp — email domain is thornburyfinancial.com, that's all I have"
R1165,C030,Pemberton Retail,company,name-exact,1.00,no,,Pemberton Retail,trying to reach Head of Platform Engineering at Pemberton Retail — anyone have a path?
R1166,,,,unmatched,0.00,yes,,Vireo Systems,"need help getting to Vireo Systems. Gideon Achterberg-Thackeray is the Chief Operating Officer there, cold outbound is going nowhere"
R1167,C028,Osric Networks,company,name-exact,1.00,no,,Osric Networks,who do we know at Osric Networks? Director of Software Engineering would be ideal but I'll take anyone senior
R1168,C025,Meridian Holdings,company,domain-stem,0.95,no,,Meridian Peak Foods,any connections into Meridian Peak Foods? we're up against a renewal window and I need an intro to VP Engineering
