rank,group,company_id,company_name,crm_account_ids,owner,stage,action,why,evidence,value_at_stake_usd,request_ids,status,executed_on
3,owners,C002,Apex Logistics,A1001 | A91001,Rafael Salcedo | Yusuf Petrossian,Prospect,pick one owner: Rafael Salcedo or Yusuf Petrossian,"two reps both own a $2,200,000 Prospect account",A1001 -> Rafael Salcedo; A91001 -> Yusuf Petrossian; neither owner has asked for an intro here,2200000,R1197 | R1041 | R1038 | R1024,recommended,
3,owners,C004,Ashgrove Agriculture,A1035 | A91035,Hana Nakashima | Rafael Salcedo,Pilot,pick one owner: Hana Nakashima or Rafael Salcedo,"two reps both own a $600,000 Pilot account",A1035 -> Hana Nakashima; A91035 -> Rafael Salcedo; neither owner has asked for an intro here,600000,R1187,recommended,
3,owners,C019,Hollowbrook Grocers,A1024 | A91024,Imani Mkhize | Nadia Okonkwo,Pilot,pick one owner: Imani Mkhize or Nadia Okonkwo,"two reps both own a $600,000 Pilot account",A1024 -> Nadia Okonkwo; A91024 -> Imani Mkhize; neither owner has asked for an intro here,600000,R1124 | R1159 | R1065 | R1084,recommended,
3,owners,C035,Silverbrook Paper,A1032 | A91032,Curtis Hartigan | Yusuf Petrossian,Closed Lost,pick one owner: Curtis Hartigan or Yusuf Petrossian,"two reps both own a $600,000 Closed Lost account","A1032 -> Curtis Hartigan; A91032 -> Yusuf Petrossian; Yusuf Petrossian raised 1 request here, Curtis Hartigan none",600000,R1063 | R1008,recommended,
3,owners,C011,Ellerby Semiconductor,A1020 | A91020,Sloane Fairweather | Yusuf Petrossian,Negotiation,pick one owner: Sloane Fairweather or Yusuf Petrossian,"two reps both own a $400,000 Negotiation account",A1020 -> Sloane Fairweather; A91020 -> Yusuf Petrossian; neither owner has asked for an intro here,400000,R1104,recommended,
4,reopen,C042,Volney Industrial Systems,A1049,Yusuf Petrossian,Closed Lost,reopen the account or close the requests,"3 live requests worth $3,150,000 against a Closed Lost account: either the stage is wrong or the requests are","A1049 Closed Lost, owner Yusuf Petrossian, last touch 2026-01-13; requests from Imani Mkhize, Yusuf Petrossian, Hana Nakashima, latest 2026-01-14; 4 paths into the company, so reopening is possible",3150000,R1002 | R1191 | R1080,recommended,
4,reopen,C034,Sablefield Motors,A1005,Hana Nakashima,Closed Lost,reopen the account or close the requests,"5 live requests worth $2,560,000 against a Closed Lost account: either the stage is wrong or the requests are","A1005 Closed Lost, owner Hana Nakashima, last touch 2026-02-14; requests from Yusuf Petrossian (3), Curtis Hartigan (2), latest 2026-05-19; nobody in the network reaches them, so closing the requests loses nothing",2560000,R1081 | R1182 | R1138 | R1117 | R1036,recommended,
4,reopen,C035,Silverbrook Paper,A1032 | A91032,Curtis Hartigan | Yusuf Petrossian,Closed Lost,reopen the account or close the requests,"2 live requests worth $2,080,000 against a Closed Lost account: either the stage is wrong or the requests are","A1032 | A91032 Closed Lost, owner Curtis Hartigan | Yusuf Petrossian, last touch 2026-05-10; requests from Sloane Fairweather, Yusuf Petrossian, latest 2026-01-07; 1 path into the company, so reopening is possible",2080000,R1063 | R1008,recommended,
4,reopen,C015,Glasspoint Health,A1017,Bertrand Vandermolen,Closed Lost,reopen the account or close the requests,"1 live request worth $1,200,000 against a Closed Lost account: either the stage is wrong or the requests are","A1017 Closed Lost, owner Bertrand Vandermolen, last touch 2026-06-20; requests from Sloane Fairweather, latest 2026-02-25; 4 paths into the company, so reopening is possible",1200000,R1025,recommended,
4,reopen,C001,Aldergate Telecom,A1027,Yusuf Petrossian,Closed Lost,reopen the account or close the requests,"1 live request worth $400,000 against a Closed Lost account: either the stage is wrong or the requests are","A1027 Closed Lost, owner Yusuf Petrossian, last touch 2026-04-08; requests from Nadia Okonkwo, latest 2026-01-09; nobody in the network reaches them, so closing the requests loses nothing",400000,R1099,recommended,
4,reopen,C021,Larchmont Aerospace,A1042,Bertrand Vandermolen,Closed Lost,reopen the account or close the requests,"1 live request worth $80,000 against a Closed Lost account: either the stage is wrong or the requests are","A1042 Closed Lost, owner Bertrand Vandermolen, last touch 2025-12-17; requests from Curtis Hartigan, latest 2026-07-01; nobody in the network reaches them, so closing the requests loses nothing",80000,R1030,recommended,
5,stale,C023,Marchford Clinics,A1018,Curtis Hartigan,Prospect,log a touch or hand off (Curtis Hartigan),"5 open requests worth $4,910,000 but the account has not moved in 418 days","A1018 last touched 2025-07-15 (418 days ago), stage Prospect; requests from Sloane Fairweather, Rafael Salcedo, Yusuf Petrossian, Curtis Hartigan, Imani Mkhize, latest 2026-07-06",4910000,R1121 | R1142 | R1114 | R1162 | R1004,recommended,
5,stale,C019,Hollowbrook Grocers,A1024 | A91024,Imani Mkhize | Nadia Okonkwo,Pilot,log a touch or hand off (Imani Mkhize | Nadia Okonkwo),"4 open requests worth $4,480,000 but the account has not moved in 113 days","A1024 | A91024 last touched 2026-05-16 (113 days ago), stage Pilot; requests from Bertrand Vandermolen (3), Yusuf Petrossian, latest 2026-07-13",4480000,R1124 | R1159 | R1065 | R1084,recommended,
5,stale,C031,Priorwood Chemicals,A1030,Bertrand Vandermolen,Discovery,log a touch or hand off (Bertrand Vandermolen),"7 open requests worth $4,280,000 but the account has not moved in 324 days","A1030 last touched 2025-10-17 (324 days ago), stage Discovery; requests from Yusuf Petrossian (2), Curtis Hartigan (2), Nadia Okonkwo, Bertrand Vandermolen, Sloane Fairweather, latest 2026-05-29",4280000,R1052 | R1118 | R1196 | R1150 | R1098 | R1092 | R1174,recommended,
5,stale,C018,Harrowgate Health,A1050,Imani Mkhize,Pilot,log a touch or hand off (Imani Mkhize),"7 open requests worth $4,030,000 but the account has not moved in 115 days","A1050 last touched 2026-05-14 (115 days ago), stage Pilot; requests from Yusuf Petrossian (2), Nadia Okonkwo (2), Imani Mkhize, Sloane Fairweather, Curtis Hartigan, latest 2026-06-16",4030000,R1137 | R1140 | R1072 | R1153 | R1136 | R1157 | R1057,recommended,
5,stale,C040,Thornbury Financial,A1015,Sloane Fairweather,Pilot,log a touch or hand off (Sloane Fairweather),"2 open requests worth $4,000,000 but the account has not moved in 206 days","A1015 last touched 2026-02-12 (206 days ago), stage Pilot; requests from Rafael Salcedo, Imani Mkhize, latest 2025-09-14",4000000,R1180 | R1105,recommended,
5,stale,C039,Thistledown Energy,A1046,Yusuf Petrossian,Pilot,log a touch or hand off (Yusuf Petrossian),"5 open requests worth $3,950,000 but the account has not moved in 116 days","A1046 last touched 2026-05-13 (116 days ago), stage Pilot; requests from Yusuf Petrossian, Bertrand Vandermolen, Hana Nakashima, Rafael Salcedo, Nadia Okonkwo, latest 2026-06-04",3950000,R1064 | R1023 | R1037 | R1152 | R1083,recommended,
5,stale,C028,Osric Networks,A1044,Nadia Okonkwo,Discovery,log a touch or hand off (Nadia Okonkwo),"4 open requests worth $3,850,000 but the account has not moved in 140 days","A1044 last touched 2026-04-19 (140 days ago), stage Discovery; requests from Hana Nakashima, Nadia Okonkwo, Curtis Hartigan, Yusuf Petrossian, latest 2026-07-18",3850000,R1170 | R1167 | R1163 | R1028,recommended,
5,stale,C043,Wrenfield Robotics,A1036,Rafael Salcedo,Discovery,log a touch or hand off (Rafael Salcedo),"3 open requests worth $3,600,000 but the account has not moved in 326 days","A1036 last touched 2025-10-15 (326 days ago), stage Discovery; requests from Hana Nakashima, Nadia Okonkwo, Yusuf Petrossian, latest 2026-05-31",3600000,R1156 | R1195 | R1018,recommended,
5,stale,C007,Brightmoor Energy,A1006 | A91006,Imani Mkhize,Discovery,log a touch or hand off (Imani Mkhize),"4 open requests worth $3,430,000 but the account has not moved in 258 days","A1006 | A91006 last touched 2025-12-22 (258 days ago), stage Discovery; requests from Imani Mkhize (2), Yusuf Petrossian, Rafael Salcedo, latest 2026-07-13",3430000,R1123 | R1042 | R1190 | R1029,recommended,
5,stale,C003,Apex Holdings,A1002,Imani Mkhize,Negotiation,log a touch or hand off (Imani Mkhize),"2 open requests worth $3,200,000 but the account has not moved in 399 days","A1002 last touched 2025-08-03 (399 days ago), stage Negotiation; requests from Hana Nakashima, Yusuf Petrossian, latest 2026-03-02",3200000,R1186 | R1154,recommended,
5,stale,C017,Halcyon Grid,A1008,Bertrand Vandermolen,Negotiation,log a touch or hand off (Bertrand Vandermolen),"3 open requests worth $2,830,000 but the account has not moved in 176 days","A1008 last touched 2026-03-14 (176 days ago), stage Negotiation; requests from Nadia Okonkwo, Imani Mkhize, Rafael Salcedo, latest 2026-06-01",2830000,R1177 | R1127 | R1007,recommended,
5,stale,C002,Apex Logistics,A1001 | A91001,Rafael Salcedo | Yusuf Petrossian,Prospect,log a touch or hand off (Rafael Salcedo | Yusuf Petrossian),"2 open requests worth $2,750,000 but the account has not moved in 156 days","A1001 | A91001 last touched 2026-04-03 (156 days ago), stage Prospect; requests from Hana Nakashima, Curtis Hartigan, latest 2026-07-04",2750000,R1041 | R1024,recommended,
5,stale,C033,Ravensmoor Defense,A1031,Hana Nakashima,Negotiation,log a touch or hand off (Hana Nakashima),"2 open requests worth $2,750,000 but the account has not moved in 329 days","A1031 last touched 2025-10-12 (329 days ago), stage Negotiation; requests from Nadia Okonkwo (2), latest 2026-01-29",2750000,R1049 | R1039,recommended,
5,stale,C016,Gravenhurst Motors,A1041,Sloane Fairweather,Negotiation,log a touch or hand off (Sloane Fairweather),"6 open requests worth $2,510,000 but the account has not moved in 242 days","A1041 last touched 2026-01-07 (242 days ago), stage Negotiation; requests from Yusuf Petrossian (2), Rafael Salcedo (2), Curtis Hartigan, Sloane Fairweather, latest 2026-05-02",2510000,R1108 | R1158 | R1058 | R1185 | R1143 | R1149,recommended,
5,stale,C024,Marlowe Freight Systems,A1047,Imani Mkhize,Pilot,log a touch or hand off (Imani Mkhize),"2 open requests worth $2,400,000 but the account has not moved in 216 days","A1047 last touched 2026-02-02 (216 days ago), stage Pilot; requests from Bertrand Vandermolen, Nadia Okonkwo, latest 2026-05-06",2400000,R1134 | R1129,recommended,
5,stale,C011,Ellerby Semiconductor,A1020 | A91020,Sloane Fairweather | Yusuf Petrossian,Negotiation,log a touch or hand off (Sloane Fairweather | Yusuf Petrossian),"1 open request worth $2,000,000 but the account has not moved in 353 days","A1020 | A91020 last touched 2025-09-18 (353 days ago), stage Negotiation; requests from Bertrand Vandermolen, latest 2025-12-20",2000000,R1104,recommended,
5,stale,C006,Blackwood Holdings,A1010,Imani Mkhize,Negotiation,log a touch or hand off (Imani Mkhize),"4 open requests worth $1,680,000 but the account has not moved in 345 days","A1010 last touched 2025-09-26 (345 days ago), stage Negotiation; requests from Nadia Okonkwo (2), Sloane Fairweather, Yusuf Petrossian, latest 2026-06-11",1680000,R1179 | R1130 | R1091 | R1022,recommended,
5,stale,C030,Pemberton Retail,A1023,Hana Nakashima,Negotiation,log a touch or hand off (Hana Nakashima),"3 open requests worth $1,680,000 but the account has not moved in 378 days","A1023 last touched 2025-08-24 (378 days ago), stage Negotiation; requests from Curtis Hartigan, Bertrand Vandermolen, Sloane Fairweather, latest 2026-04-30",1680000,R1050 | R1061 | R1165,recommended,
5,stale,C008,Cindermill Holdings,A1025,Nadia Okonkwo,Discovery,log a touch or hand off (Nadia Okonkwo),"4 open requests worth $1,480,000 but the account has not moved in 423 days","A1025 last touched 2025-07-10 (423 days ago), stage Discovery; requests from Bertrand Vandermolen (2), Curtis Hartigan, Yusuf Petrossian, latest 2026-07-26",1480000,R1144 | R1059 | R1015 | R1184,recommended,
5,stale,C029,Pelham Beverage,A1043,Yusuf Petrossian,Evaluation,log a touch or hand off (Yusuf Petrossian),"3 open requests worth $1,400,000 but the account has not moved in 229 days","A1043 last touched 2026-01-20 (229 days ago), stage Evaluation; requests from Rafael Salcedo, Hana Nakashima, Yusuf Petrossian, latest 2026-04-03",1400000,R1047 | R1200 | R1176,recommended,
5,stale,C010,Duncastle Holdings,A1029,Bertrand Vandermolen,Prospect,log a touch or hand off (Bertrand Vandermolen),"3 open requests worth $1,230,000 but the account has not moved in 273 days","A1029 last touched 2025-12-07 (273 days ago), stage Prospect; requests from Yusuf Petrossian (2), Sloane Fairweather, latest 2026-04-29",1230000,R1082 | R1120 | R1183,recommended,
5,stale,C014,Kestrel Airlines,A1012,Rafael Salcedo,Negotiation,log a touch or hand off (Rafael Salcedo),"1 open request worth $1,200,000 but the account has not moved in 327 days","A1012 last touched 2025-10-14 (327 days ago), stage Negotiation; requests from Nadia Okonkwo, latest 2026-01-10",1200000,R1054,recommended,
5,stale,C038,Tessellate Payments,A1037,Nadia Okonkwo,Negotiation,log a touch or hand off (Nadia Okonkwo),"1 open request worth $1,200,000 but the account has not moved in 401 days","A1037 last touched 2025-08-01 (401 days ago), stage Negotiation; requests from Imani Mkhize, latest 2025-12-12",1200000,R1026,recommended,
5,stale,C027,Nortonbury Logistics,A1039,Bertrand Vandermolen,Evaluation,log a touch or hand off (Bertrand Vandermolen),"2 open requests worth $830,000 but the account has not moved in 227 days","A1039 last touched 2026-01-22 (227 days ago), stage Evaluation; requests from Rafael Salcedo, Nadia Okonkwo, latest 2026-05-10",830000,R1077 | R1013,recommended,
5,stale,C005,Bexley Bioworks,A1045,Sloane Fairweather,Negotiation,log a touch or hand off (Sloane Fairweather),"1 open request worth $750,000 but the account has not moved in 189 days","A1045 last touched 2026-03-01 (189 days ago), stage Negotiation; requests from Bertrand Vandermolen, latest 2026-04-14",750000,R1048,recommended,
5,stale,C025,Meridian Holdings,A1034,Bertrand Vandermolen,Evaluation,log a touch or hand off (Bertrand Vandermolen),"1 open request worth $750,000 but the account has not moved in 138 days","A1034 last touched 2026-04-21 (138 days ago), stage Evaluation; requests from Bertrand Vandermolen, latest 2026-07-22",750000,R1168,recommended,
5,stale,C026,Northwind Freight,A1003,Curtis Hartigan,Pilot,log a touch or hand off (Curtis Hartigan),"3 open requests worth $560,000 but the account has not moved in 148 days","A1003 last touched 2026-04-11 (148 days ago), stage Pilot; requests from Bertrand Vandermolen (2), Nadia Okonkwo, latest 2026-02-02",560000,R1161 | R1019 | R1188,recommended,
5,stale,C004,Ashgrove Agriculture,A1035 | A91035,Hana Nakashima | Rafael Salcedo,Pilot,log a touch or hand off (Hana Nakashima | Rafael Salcedo),"1 open request worth $400,000 but the account has not moved in 218 days","A1035 | A91035 last touched 2026-01-31 (218 days ago), stage Pilot; requests from Bertrand Vandermolen, latest 2025-10-29",400000,R1187,recommended,
5,stale,C037,Sundermere Bank,A1014,Imani Mkhize,Pilot,log a touch or hand off (Imani Mkhize),"1 open request worth $400,000 but the account has not moved in 94 days","A1014 last touched 2026-06-04 (94 days ago), stage Pilot; requests from Sloane Fairweather, latest 2025-10-13",400000,R1034,recommended,
5,stale,C041,Vantage Ridge Utilities,A1007,Rafael Salcedo,Discovery,log a touch or hand off (Rafael Salcedo),"1 open request worth $400,000 but the account has not moved in 171 days","A1007 last touched 2026-03-19 (171 days ago), stage Discovery; requests from Imani Mkhize, latest 2026-04-14",400000,R1001,recommended,
5,stale,C009,Cobalt Lane Capital Markets,A1038,Rafael Salcedo,Discovery,log a touch or hand off (Rafael Salcedo),"1 open request worth $250,000 but the account has not moved in 283 days","A1038 last touched 2025-11-27 (283 days ago), stage Discovery; requests from Imani Mkhize, latest 2026-01-27",250000,R1076,recommended,
5,stale,C022,Larkhall Software,A1022,Imani Mkhize,Prospect,log a touch or hand off (Imani Mkhize),"1 open request worth $250,000 but the account has not moved in 174 days","A1022 last touched 2026-03-16 (174 days ago), stage Prospect; requests from Bertrand Vandermolen, latest 2026-05-24",250000,R1010,recommended,
5,stale,C020,Ironvale Steel,A1009,Hana Nakashima,Negotiation,log a touch or hand off (Hana Nakashima),"2 open requests worth $230,000 but the account has not moved in 143 days","A1009 last touched 2026-04-16 (143 days ago), stage Negotiation; requests from Imani Mkhize, Sloane Fairweather, latest 2026-02-17",230000,R1031 | R1086,recommended,
