request_id,requested_by,requester_role,request_date,raw_ask,target_company_raw,target_person_raw,target_title_raw,deal_value_usd,urgency,path_found_flag,status
R1030,Curtis Hartigan,"AE, Financial Services",2026-07-01,long shot — Larchmont Aerospace. Kofi Højgaard-Zettergren (Head of Platform Engineering). Anyone?,Larchmont Aerospace,,Head of Platform Engineering,80000,High,No path found,Open
R1031,Imani Mkhize,"Enterprise AE, West",2025-11-26,"does anyone know anyone at Ironvale Steel? looking for Chief Data Officer, ideally warm",Ironvale Steel,,Chief Data Officer,80000,High,Path found,Open
R1032,Hana Nakashima,"AE, Healthcare",2025-09-11,who do we know at Duncastle Hotels? VP Enterprise Architecture would be ideal but I'll take anyone senior,Duncastle Hotels,,VP Enterprise Architecture,80000,Critical,Path found,Closed - no path
R1033,Curtis Hartigan,"AE, Financial Services",2026-06-02,long shot — Priorwood Chemicals. Astrid Thackeray-Grimsby (Head of Developer Productivity). Anyone?,Priorwood Chemicals,,Head of Developer Productivity,750000,High,Path found,Closed - no path
R1034,Sloane Fairweather,Strategic AE,2025-10-13,long shot — Sundermere Bank. Margot Vasquez-Salcedo (Chief Data Officer). Anyone?,Sundermere Bank,,Chief Data Officer,400000,High,No path found,Open
R1035,Rafael Salcedo,"AE, Transport & Logistics",2025-12-23,"does anyone know anyone at Marrow Point Airways? looking for VP Engineering, ideally warm",Marrow Point Airways,,VP Engineering,400000,High,,Closed - no path
R1036,Curtis Hartigan,"AE, Financial Services",2026-05-19,asking again: Sablefield Motors. Chief Data Officer. Happy to draft the forward myself if someone can vouch.,Sablefield Motors,,Chief Data Officer,150000,Critical,,Open
R1037,Hana Nakashima,"AE, Healthcare",2025-11-26,trying to reach Head of Platform Engineering at Thistledown Energy — anyone have a path?,Thistledown Energy,,Head of Platform Engineering,1200000,Low,,Open
R1038,Nadia Okonkwo,"AE, Industrials",2026-05-18,trying to reach Chief Operating Officer at Apex Logistics. I know we sell into Larkhall Software and Cindermill Mining — could either of those relationships get us there?,,,Chief Operating Officer,250000,High,Unknown,Intro sent
R1039,Nadia Okonkwo,"AE, Industrials",2026-01-29,asking again: Ravensmoor Defense. Head of Developer Productivity. Happy to draft the forward myself if someone can vouch.,Ravensmoor Defense,,Head of Developer Productivity,2000000,High,No path found,Stalled
R1040,Sloane Fairweather,Strategic AE,2026-06-29,trying to reach Chief Technology Officer at Ironvale Steel — anyone have a path?,Ironvale Steel,,Chief Technology Officer,80000,High,Unknown,Intro sent
R1041,Hana Nakashima,"AE, Healthcare",2025-12-02,trying to reach SVP Digital at Apex Logistics — anyone have a path?,Apex Logistics,,SVP Digital,750000,Medium,Path found,Open
R1042,Imani Mkhize,"Enterprise AE, West",2026-06-01,"Brightmoor Energy is the target. Our champion at Kingsmere Retail Group used to work with their team, and I think Apex Logistics is a supplier of theirs. Any path?",,,Chief Technology Officer,80000,High,Unknown,Stalled
R1043,Yusuf Petrossian,SDR Lead,2026-03-19,who do we know at Copperline Water? Chief Technology Officer would be ideal but I'll take anyone senior,Copperline Water,,Chief Technology Officer,150000,High,No path found,Intro sent
R1044,Imani Mkhize,"Enterprise AE, West",2026-05-03,who knows someone at Meridian Peak?,Meridian Peak,,Chief Data Officer,750000,High,Unknown,Open
R1045,Yusuf Petrossian,SDR Lead,2025-09-06,who do we know at Marlowe Freight Systems? VP Enterprise Architecture would be ideal but I'll take anyone senior,Marlowe Freight Systems,Imani Kettleborough-Ibarra,VP Enterprise Architecture,750000,High,,Closed - no path
R1046,Curtis Hartigan,"AE, Financial Services",2026-06-08,Freya Thackeray-Underhill is the person I need. Pretty sure they're a Head of Developer Productivity somewhere in Consumer.,,Freya Thackeray-Underhill,Head of Developer Productivity,80000,Medium,Unknown,Open
R1047,Rafael Salcedo,"AE, Transport & Logistics",2025-08-17,"Calderon Aerospace introduced us to Kestrel Airlines, but the account I actually need is Pelham Beverage (Director of Software Engineering).",,,Director of Software Engineering,250000,High,,Stalled
R1048,Bertrand Vandermolen,"AE, EMEA",2026-04-14,any connections into Bexley Bioworks? we're up against a renewal window and I need an intro to Chief Data Officer,Bexley Bioworks,,Chief Data Officer,750000,High,Path found,Stalled
R1049,Nadia Okonkwo,"AE, Industrials",2025-10-07,long shot — Ravensmoor Defense. Rhys Ferreira-Ingleby (Chief Digital Officer). Anyone?,Ravensmoor Defense,,Chief Digital Officer,750000,Critical,,Open
R1050,Curtis Hartigan,"AE, Financial Services",2025-09-05,trying to reach Head of Developer Productivity at Pemberton Retail — anyone have a path?,Pemberton Retail,,Head of Developer Productivity,400000,Medium,Unknown,Open
R1051,Hana Nakashima,"AE, Healthcare",2026-04-17,"anyone connected to Solveig Dobrescu-Mkhize? They run engineering at a large logistics business, I don't have the entity name handy",,Solveig Dobrescu-Mkhize,VP Engineering,2000000,High,,Open
R1052,Yusuf Petrossian,SDR Lead,2025-08-19,asking again: Priorwood Chemicals. Head of Platform Engineering. Happy to draft the forward myself if someone can vouch.,Priorwood Chemicals,,Head of Platform Engineering,80000,Low,Path found,Open
R1053,Rafael Salcedo,"AE, Transport & Logistics",2026-06-16,asking again: Strathmore Rail. VP Data & Analytics. Happy to draft the forward myself if someone can vouch.,Strathmore Rail,,VP Data & Analytics,400000,Medium,Unknown,Stalled
R1054,Nadia Okonkwo,"AE, Industrials",2026-01-10,trying to reach Chief Operating Officer at Kestrel Airlines — anyone have a path?,Kestrel Airlines,,Chief Operating Officer,1200000,Low,Unknown,Routed
R1055,Rafael Salcedo,"AE, Transport & Logistics",2026-07-08,"looking for a path to Noor Isenberg-Havercamp — email domain is vireosystems.com, that's all I have",,Noor Isenberg-Havercamp,Chief Digital Officer,1200000,Critical,Unknown,Open
R1056,Sloane Fairweather,Strategic AE,2025-08-25,Elena Bellinger-Havercamp is the person I need. Pretty sure they're a VP Engineering somewhere in Healthcare.,,Elena Bellinger-Havercamp,VP Engineering,1200000,High,Unknown,Open
R1057,Curtis Hartigan,"AE, Financial Services",2026-06-16,any connections into Harrowgate Health? we're up against a renewal window and I need an intro to Chief Information Officer,Harrowgate Health,,Chief Information Officer,250000,High,Unknown,Stalled
R1058,Curtis Hartigan,"AE, Financial Services",2026-01-01,"need help getting to Gravenhurst Motors. Imani Salcedo-Prendergast is the Chief Data Officer there, cold outbound is going nowhere",Gravenhurst Motors,Imani Salcedo-Prendergast,Chief Data Officer,80000,Medium,Path found,Open
R1059,Bertrand Vandermolen,"AE, EMEA",2025-09-06,"Cindermill Mining is the target. Our champion at Quillon Pharma used to work with their team, and I think Pemberton Retail is a supplier of theirs. Any path?",,,VP Data & Analytics,250000,High,,Open
R1060,Nadia Okonkwo,"AE, Industrials",2025-08-15,"does anyone know anyone at Vireo Systems? looking for VP Enterprise Architecture, ideally warm",Vireo Systems,,VP Enterprise Architecture,80000,Medium,,Open
R1061,Bertrand Vandermolen,"AE, EMEA",2026-02-21,"does anyone know anyone at Pemberton Retail? looking for Head of Developer Productivity, ideally warm",Pemberton Retail,Astrid Kirkbride-Norrington,Head of Developer Productivity,1200000,Medium,No path found,Stalled
R1062,Bertrand Vandermolen,"AE, EMEA",2026-05-09,who do we know at Larkhall Software? Head of Developer Productivity would be ideal but I'll take anyone senior,Larkhall Software,,Head of Developer Productivity,400000,Critical,No path found,Intro sent
R1063,Sloane Fairweather,Strategic AE,2025-11-06,trying to reach Chief Operating Officer at Silverbrook Paper — anyone have a path?,Silverbrook Paper,,Chief Operating Officer,80000,High,Path found,Routed
R1064,Yusuf Petrossian,SDR Lead,2025-08-14,trying to reach Chief Data Officer at Thistledown Energy — anyone have a path?,Thistledown Energy,Margot Rushworth-Fontaine,Chief Data Officer,1200000,Low,Unknown,Routed
R1065,Bertrand Vandermolen,"AE, EMEA",2026-04-08,"Volney Industrial Systems introduced us to Halcyon Grid, but the account I actually need is Hollowbrook Grocers (Director of Software Engineering).",,,Director of Software Engineering,80000,High,,Stalled
R1066,Curtis Hartigan,"AE, Financial Services",2026-06-25,any connections into Kingsmere Retail Group? we're up against a renewal window and I need an intro to Chief Digital Officer,Kingsmere Retail Group,,Chief Digital Officer,750000,Medium,No path found,Open
R1067,Curtis Hartigan,"AE, Financial Services",2025-10-22,"does anyone know anyone at Redtree Foods? looking for Head of Platform Engineering, ideally warm",Redtree Foods,,Head of Platform Engineering,1200000,Medium,,Open
R1068,Rafael Salcedo,"AE, Transport & Logistics",2026-02-14,long shot — Calderon Aerospace. Emeka Ingleby-Brenneman (Chief Digital Officer). Anyone?,Calderon Aerospace,,Chief Digital Officer,150000,Medium,Unknown,Closed - no path
R1069,Sloane Fairweather,Strategic AE,2025-10-30,any connections into Apex Logistics Group? we're up against a renewal window and I need an intro to SVP Digital,Apex Logistics Group,Espen Wolstenholme-Vandermolen,SVP Digital,1200000,Medium,,Closed - no path
R1070,Imani Mkhize,"Enterprise AE, West",2026-05-07,trying to reach SVP Digital at Kingsmere Retail Group. I know we sell into Pelham Beverage and Larchmont Aerospace — could either of those relationships get us there?,,,SVP Digital,400000,High,,Open
R1071,Curtis Hartigan,"AE, Financial Services",2026-01-29,trying to reach Chief Digital Officer at Duncastle Hotels. I know we sell into Blackwood Industrial and Ellerby Semiconductor — could either of those relationships get us there?,,,Chief Digital Officer,400000,Critical,,Closed - no path
R1072,Sloane Fairweather,Strategic AE,2025-10-31,long shot — Harrowgate Health. Liesel Marchetti-Wolstenholme (SVP Digital). Anyone?,Harrowgate Health,,SVP Digital,750000,Low,Path found,Open
R1073,Nadia Okonkwo,"AE, Industrials",2025-12-20,"need help getting to Volney Industrial Systems. Anouk Underhill-Hartigan is the Chief Information Officer there, cold outbound is going nowhere",Volney Industrial Systems,,Chief Information Officer,80000,Low,,Closed - no path
R1074,Bertrand Vandermolen,"AE, EMEA",2026-06-03,trying to reach VP Data & Analytics at Redtree Foods — anyone have a path?,Redtree Foods,,VP Data & Analytics,750000,High,,Stalled
R1075,Hana Nakashima,"AE, Healthcare",2026-02-25,who do we know at Vireo Systems? VP Engineering would be ideal but I'll take anyone senior,Vireo Systems,,VP Engineering,750000,Medium,,Stalled
R1076,Imani Mkhize,"Enterprise AE, West",2026-01-27,"we need Cobalt Lane Capital Markets. Not Ferrowick Insurance — that's a different entity and we already have that one. Also spoke to Apex Logistics last week, unrelated.",,,Chief Digital Officer,250000,Critical,Path found,Open
R1077,Rafael Salcedo,"AE, Transport & Logistics",2026-02-26,trying to reach Head of Developer Productivity at Nortonbury Logistics — anyone have a path?,Nortonbury Logistics,,Head of Developer Productivity,750000,Low,Path found,Open
R1078,Hana Nakashima,"AE, Healthcare",2025-11-11,asking again: Cobalt Lane Capital Markets. VP Engineering. Happy to draft the forward myself if someone can vouch.,Cobalt Lane Capital Markets,,VP Engineering,2000000,Medium,Path found,Intro sent
R1079,Curtis Hartigan,"AE, Financial Services",2026-06-23,who knows someone at Cobalt Lane?,Cobalt Lane,,Chief Operating Officer,150000,Medium,Path found,Closed - no path
R1080,Hana Nakashima,"AE, Healthcare",2026-01-14,trying to reach VP Engineering at Volney Industrial Systems — anyone have a path?,Volney Industrial Systems,,VP Engineering,750000,High,Unknown,Open
R1081,Curtis Hartigan,"AE, Financial Services",2025-09-30,who do we know at Sablefield Motors? SVP Digital would be ideal but I'll take anyone senior,Sablefield Motors,,SVP Digital,80000,Low,No path found,Open
R1082,Sloane Fairweather,Strategic AE,2025-08-02,trying to reach Chief Information Officer at Duncastle Hotels. I know we sell into Wrenfield Robotics and Yarrowdale Media — could either of those relationships get us there?,,,Chief Information Officer,400000,Medium,Path found,Stalled
R1083,Nadia Okonkwo,"AE, Industrials",2026-06-04,"looking for a path to Perrine Hartigan-Thackeray — email domain is thistledownenergy.com, that's all I have",,Perrine Hartigan-Thackeray,VP Engineering,750000,Critical,Unknown,Open
R1084,Bertrand Vandermolen,"AE, EMEA",2026-07-13,"need help getting to Hollowbrook Grocers. Dev Prendergast-Jarrold is the VP Engineering there, cold outbound is going nowhere",Hollowbrook Grocers,,VP Engineering,2000000,Critical,Path found,Open
R1085,Yusuf Petrossian,SDR Lead,2026-04-27,Matteo Petrossian-Lomsadze is the person I need. Pretty sure they're a Director of Software Engineering somewhere in Financial Services.,,Matteo Petrossian-Lomsadze,Director of Software Engineering,80000,Medium,Path found,Open
R1086,Sloane Fairweather,Strategic AE,2026-02-17,who do we know at Ironvale Steel? VP Enterprise Architecture would be ideal but I'll take anyone senior,Ironvale Steel,,VP Enterprise Architecture,150000,Critical,,Open
R1087,Curtis Hartigan,"AE, Financial Services",2026-02-10,who knows someone at Silverbrook?,Silverbrook,,VP Data & Analytics,400000,Critical,,Routed
R1088,Curtis Hartigan,"AE, Financial Services",2026-04-09,need an intro at Thornbury — anyone?,Thornbury,,Chief Technology Officer,400000,Critical,Unknown,Closed - no path
R1089,Hana Nakashima,"AE, Healthcare",2026-02-18,who do we know at Ironvale Steel? VP Enterprise Architecture would be ideal but I'll take anyone senior,Ironvale Steel,Saoirse Halloran-Crowther,VP Enterprise Architecture,400000,High,Path found,Closed - no path
R1090,Hana Nakashima,"AE, Healthcare",2025-12-17,any connections into Harrowgate Health? we're up against a renewal window and I need an intro to VP Engineering,Harrowgate Health,,VP Engineering,400000,Medium,,Closed - no path
R1091,Yusuf Petrossian,SDR Lead,2026-04-14,who do we know at Blackwood Industrial? Chief Digital Officer would be ideal but I'll take anyone senior,Blackwood Industrial,,Chief Digital Officer,150000,High,Unknown,Stalled
R1092,Sloane Fairweather,Strategic AE,2026-03-28,who do we know at Priorwood Chemicals? VP Enterprise Architecture would be ideal but I'll take anyone senior,Priorwood Chemicals,,VP Enterprise Architecture,750000,Critical,,Stalled
R1093,Curtis Hartigan,"AE, Financial Services",2025-12-16,long shot — Strathmore Rail. Rafael Hartigan-Zubkov (Head of Platform Engineering). Anyone?,Strathmore Rail,,Head of Platform Engineering,1200000,Critical,,Closed - no path
R1094,Hana Nakashima,"AE, Healthcare",2026-06-23,long shot — Strathmore Rail. Hugo Glückstein-Sandoval (VP Data & Analytics). Anyone?,Strathmore Rail,,VP Data & Analytics,750000,High,Path found,Open
R1095,Rafael Salcedo,"AE, Transport & Logistics",2025-12-24,Yusuf Sandoval-Drummond is the person I need. Pretty sure they're a Chief Digital Officer somewhere in Transport.,,Yusuf Sandoval-Drummond,Chief Digital Officer,750000,Critical,Path found,Open
R1096,Sloane Fairweather,Strategic AE,2026-03-25,need an intro at Silverbrook — anyone?,Silverbrook,,Head of Developer Productivity,750000,High,,Open
R1097,Nadia Okonkwo,"AE, Industrials",2025-12-04,any connections into Pemberton Retail? we're up against a renewal window and I need an intro to VP Data & Analytics,Pemberton Retail,,VP Data & Analytics,400000,Low,,Intro sent
R1098,Curtis Hartigan,"AE, Financial Services",2026-03-20,"need help getting to Priorwood Chemicals. Liesel Merriweather-Lomsadze is the Chief Data Officer there, cold outbound is going nowhere",Priorwood Chemicals,,Chief Data Officer,150000,Medium,Unknown,Open
R1099,Nadia Okonkwo,"AE, Industrials",2026-01-09,long shot — Aldergate Telecom. Dana Fairweather-Dellinger (VP Enterprise Architecture). Anyone?,Aldergate Telecom,,VP Enterprise Architecture,400000,Critical,,Open
R1100,Curtis Hartigan,"AE, Financial Services",2026-05-08,any connections into Northwind Freight? we're up against a renewal window and I need an intro to Chief Technology Officer,Northwind Freight,Priya Oyelaran-Havercamp,Chief Technology Officer,750000,High,,Closed - no path
R1101,Imani Mkhize,"Enterprise AE, West",2026-05-09,any connections into Calderon Aerospace? we're up against a renewal window and I need an intro to Head of Developer Productivity,Calderon Aerospace,,Head of Developer Productivity,80000,High,,Open
R1102,Yusuf Petrossian,SDR Lead,2025-10-27,any connections into Strathmore Rail? we're up against a renewal window and I need an intro to VP Engineering,Strathmore Rail,,VP Engineering,400000,Low,Path found,Routed
R1103,Nadia Okonkwo,"AE, Industrials",2025-11-29,trying to reach SVP Digital at Larchmont Aerospace. I know we sell into Apex Logistics Group and Calderon Aerospace — could either of those relationships get us there?,,,SVP Digital,250000,High,No path found,Intro sent
R1104,Bertrand Vandermolen,"AE, EMEA",2025-12-20,asking again: Ellerby Semiconductor. VP Engineering. Happy to draft the forward myself if someone can vouch.,Ellerby Semiconductor,,VP Engineering,2000000,Medium,,Open
R1105,Imani Mkhize,"Enterprise AE, West",2025-09-14,who do we know at Thornbury Financial? Chief Information Officer would be ideal but I'll take anyone senior,Thornbury Financial,Wren Kettleborough-Jarrold,Chief Information Officer,2000000,High,Unknown,Open
R1106,Yusuf Petrossian,SDR Lead,2026-07-14,"anyone connected to Arjun Lindqvist-Lomsadze? They run engineering at a large logistics business, I don't have the entity name handy",,Arjun Lindqvist-Lomsadze,Head of Developer Productivity,80000,Critical,,Stalled
R1107,Nadia Okonkwo,"AE, Industrials",2025-11-05,long shot — Vireo Systems. Ilse Vandermolen-Grimsby (Head of Developer Productivity). Anyone?,Vireo Systems,,Head of Developer Productivity,750000,High,Path found,Intro sent
R1108,Yusuf Petrossian,SDR Lead,2025-10-09,any connections into Gravenhurst Motors? we're up against a renewal window and I need an intro to VP Engineering,Gravenhurst Motors,Mei Sandoval-Kettleborough,VP Engineering,250000,Critical,No path found,Stalled
R1109,Bertrand Vandermolen,"AE, EMEA",2025-10-24,"need help getting to Ravensmoor Defense. Liesel Bellinger-Dellinger is the VP Engineering there, cold outbound is going nowhere",Ravensmoor Defense,,VP Engineering,150000,Critical,No path found,Closed - no path
R1110,Sloane Fairweather,Strategic AE,2026-07-13,"anyone connected to Rosalind Isenberg-Prendergast? They run engineering at a large logistics business, I don't have the entity name handy",,Rosalind Isenberg-Prendergast,Chief Technology Officer,250000,High,,Stalled
R1111,Imani Mkhize,"Enterprise AE, West",2026-01-29,who do we know at Vantage Ridge Utilities? Chief Operating Officer would be ideal but I'll take anyone senior,Vantage Ridge Utilities,,Chief Operating Officer,1200000,Medium,Unknown,Intro sent
R1112,Yusuf Petrossian,SDR Lead,2026-01-15,Nadia Mkhize-Ferreira is the person I need. Pretty sure they're a VP Engineering somewhere in Airlines.,,Nadia Mkhize-Ferreira,VP Engineering,80000,High,,Closed - no path
R1113,Imani Mkhize,"Enterprise AE, West",2026-02-01,who do we know at Kingsmere Retail Group? Chief Digital Officer would be ideal but I'll take anyone senior,Kingsmere Retail Group,,Chief Digital Officer,150000,Medium,Path found,Open
R1114,Yusuf Petrossian,SDR Lead,2026-02-17,trying to reach Head of Platform Engineering at Marchford Clinics — anyone have a path?,Marchford Clinics,,Head of Platform Engineering,2000000,Medium,,Stalled
R1115,Curtis Hartigan,"AE, Financial Services",2026-02-20,trying to reach SVP Digital at Gravenhurst Motors — anyone have a path?,Gravenhurst Motors,,SVP Digital,2000000,High,No path found,Intro sent
R1116,Curtis Hartigan,"AE, Financial Services",2026-04-24,trying to reach Chief Digital Officer at Marrow Point Airways. I know we sell into Kestrel Airlines and Bexley Bioworks — could either of those relationships get us there?,,,Chief Digital Officer,2000000,Medium,,Open
R1117,Yusuf Petrossian,SDR Lead,2026-04-11,any connections into Sablefield Motors? we're up against a renewal window and I need an intro to SVP Digital,Sablefield Motors,Sloane Ingleby-Prendergast,SVP Digital,250000,Low,No path found,Open
R1118,Nadia Okonkwo,"AE, Industrials",2025-09-15,trying to reach Chief Operating Officer at Priorwood Chemicals — anyone have a path?,Priorwood Chemicals,,Chief Operating Officer,1200000,Critical,,Open
R1119,Imani Mkhize,"Enterprise AE, West",2026-06-10,Freya Havercamp-Drummond is the person I need. Pretty sure they're a VP Enterprise Architecture somewhere in Aerospace.,,Freya Havercamp-Drummond,VP Enterprise Architecture,150000,Critical,Unknown,Open
R1120,Yusuf Petrossian,SDR Lead,2025-10-28,asking again: Duncastle Hotels. Chief Information Officer. Happy to draft the forward myself if someone can vouch.,Duncastle Hotels,,Chief Information Officer,80000,High,,Stalled
R1121,Sloane Fairweather,Strategic AE,2025-09-11,"Ferrowick Insurance introduced us to Pelham Beverage, but the account I actually need is Marchford Clinics (VP Engineering).",,,VP Engineering,80000,Medium,Unknown,Stalled
R1122,Rafael Salcedo,"AE, Transport & Logistics",2026-07-19,"need help getting to Gravenhurst Motors. Greta Bellinger-Fairweather is the SVP Digital there, cold outbound is going nowhere",Gravenhurst Motors,,SVP Digital,1200000,Low,No path found,Intro sent
R1123,Imani Mkhize,"Enterprise AE, West",2026-04-22,"does anyone know anyone at Brightmoor Energy? looking for VP Enterprise Architecture, ideally warm",Brightmoor Energy,,VP Enterprise Architecture,2000000,High,Unknown,Routed
R1124,Yusuf Petrossian,SDR Lead,2025-11-10,"need help getting to Hollowbrook Grocers. Anouk Halloran-Lindqvist is the VP Engineering there, cold outbound is going nowhere",Hollowbrook Grocers,,VP Engineering,1200000,High,No path found,Open
R1125,Sloane Fairweather,Strategic AE,2026-07-05,asking again: Strathmore Rail. Chief Operating Officer. Happy to draft the forward myself if someone can vouch.,Strathmore Rail,,Chief Operating Officer,400000,High,Path found,Open
R1126,Sloane Fairweather,Strategic AE,2026-03-09,path into Cobalt Lane? our champion mentioned them last week,Cobalt Lane,,Chief Information Officer,750000,High,,Open
R1127,Imani Mkhize,"Enterprise AE, West",2026-05-26,asking again: Halcyon Grid. SVP Digital. Happy to draft the forward myself if someone can vouch.,Halcyon Grid,,SVP Digital,750000,High,No path found,Open
